Name,Structure,Class
bipenamol,NC/C1=C/C=C/C=C1/[S]/C2=C/C=C/C=C2/CO,1
biriperone,[F]/C1=C/C=C(C=C1)C(=O)CCCN5CCN4CC=3NC2=CC=CC=C2C=3C[C@@]4([H])C5,1
bisbentiamine,CC(N(C/C1=C/N=C(/C)N=C1N)C=O)=C(CCOC(=O)C2=CC=CC=C2)[S][S]C(CCOC(=O)C3=CC=CC=C3)=C(C)N(C/C4=C/N=C(/C)N=C4N)C=O,1
bisorcic,CC(=O)NCCC[C@@]([H])(NC(C)=O)C(O)=O,1
blonanserin,CCN1CCN(CC1)C4=CC(/C2=C/C=C(/[F])C=C2)=C3CCCCCCC3=N4,1
bremazocine,CC[C@@]24CCN(C[C@@]1(O)CC1)[C@@]([H])(CC3=C/C=C(/O)C=C23)C4(C)C,1
brofoxine,CC1(C)OC(=O)NC2=C/C=C(/[Br])C=C12,1
bromazepam,[Br]/C3=C/C=C2NC(=O)C/N=C(/C1=C/C=CC=N1)C2=C3,1
bromisoval,CC(C)([H])[C@@]([Br])([H])C(=O)NC(N)=O,1
bromoform,[Br]C([Br])([Br])[H],1
bromperidol,O[C@@]2(CCN(CCCC(=O)C1=C/C=C(/[F])C=C1)CC2)C3=C/C=C(/[Br])C=C3,1
brosotamide,C/C1=C/C([Br])=CC(C(N)=O)=C1O,1
brosuximide,[Br]/C1=C/C=CC(=C1)[C@@]2([H])CC(=O)NC2=O,1
brotizolam,C/C3=N/N=C4C/N=C(/C1=C/C=C/C=C1/[Cl])C=2/C=C(/[Br])[S]C=2N34,1
buciclovir,N/C2=N/C=1N(CC[C@@](O)([H])CO)C=NC=1C(=O)N2,1
buclizine,CC(C)(C)C4=C/C=C(/CN1CCN(CC1)[C@@]([H])(C2=CC=CC=C2)C3=C/C=C(/[Cl])C=C3)C=C4,1
buprenorphine,CO[C@@]12CC[C@@]3(C[C@@]1([H])[C@@](C)(O)C(C)(C)C)[C@@]4([H])CC6=C/C=C(/O)C=7O[C@@]2([H])[C@@]3(CCN4C[C@@]5([H])CC5)C6=7,1
bupropion,C[C@@]([H])(NC(C)(C)C)C(=O)C1=CC=CC([Cl])=C1,1
buramate,OCCOC(=O)NC/C1=C/C=CC=C1,1
butacetin,CC(=O)N/C1=C/C=C(/OC(C)(C)C)C=C1,1
butaclamol,CC(C)(C)[C@@]5(O)CCN4C[C@@]2([H])C1=CC=CC=C1CCC3=CC=CC(=C23)[C@@]4([H])C5,1
butaperazine,CCCC(=O)C4=CC=C3[S]C1=CC=CC=C1N(CCCN2CCN(C)CC2)C3=C4,1
butoctamide,CCCC[C@@]([H])(CC)CNC(=O)C[C@@](C)(O)[H],1
butorphanol,O/C4=C/C=C3C[C@@]1([H])N(CC[C@@]2(CCCC[C@@]12O)C3=C4)C[C@@]5([H])CCC5,1
cabergoline,CCNC(=O)N(CCCN(C)C)C(=O)[C@@]2([H])C[C@@]1([H])C=4C=CC=C3NC=C(C[C@@]1([H])N(CC=C)C2)C3=4,1
cafedrine,C[C@@]([H])(NCCN1C=NC=2N(C)C(=O)N(C)C(=O)C1=2)[C@@](O)([H])C3=CC=CC=C3,1
camazepam,CN(C)C(=O)O[C@@]3([H])N=C(/C1=C/C=CC=C1)C2=CC([Cl])=CC=C2N(C)C3=O,1
camphor,CC1(C)[C@@]2([H])CC[C@@]1(C)C(=O)C2,1
caproxamine,CCCCC/C(=N/OCCN)C1=C/C=C(/C)C(N)=C1,1
captodiame,CCCC[S]/C1=C/C=C(C=C1)[C@@]([H])([S]CCN(C)C)C2=CC=CC=C2,1
capuride,CC[C@@](C)([H])[C@@]([H])(CC)C(=O)NC(N)=O,1
carbamazepine,NC(=O)N2C1=CC=CC=C1C=CC3=CC=CC=C23,1
carbubarb,CCCCC1(CCOC(N)=O)C(=O)NC(=O)NC1=O,1
carburazepam,CN2C(=O)CN(C(N)=O)[C@@]([H])(C1=CC=CC=C1)C3=CC([Cl])=CC=C23,1
carfimate,NC(=O)O[C@@]([H])(C#C)C1=CC=CC=C1,1
carmantadine,OC(=O)[C@@]1([H])CCN1[C@@]34CC2([H])C[C@@]([H])(C[C@@]([H])(C2)C3)C4,1
caroxazone,NC(=O)CN2CC1=CC=CC=C1OC2=O,1
carperone,CC(C)([H])NC(=O)O[C@@]2([H])CCN(CCCC(=O)C1=C/C=C(/[F])C=C1)CC2,1
carphenazine (carfenazine),CCC(=O)C4=CC=C3[S]C1=CC=CC=C1N(CCCN2CCN(CCO)CC2)C3=C4,1
carzenide,N[S](=O)(=O)C1=CC=C(C=C1)C(O)=O,1
cathinone,C[C@@](N)([H])C(=O)C1=CC=CC=C1,1
cebaracetam,[Cl]/C1=C/C=C(C=C1)[C@@]3([H])CN(CC(=O)N2CCNC(=O)C2)C(=O)C3,1
celucloral,O[C@@]2([H])O[C@@]([H])(COCCO[C@@](O)([H])C([Cl])([Cl])[Cl])[C@@]([H])(O[C@@]1([H])O[C@@]([H])(COCCOCCO[C@@](O)([H])C([Cl])([Cl])[Cl])C[C@@]([H])(O[C@@](O)([H])C([Cl])([Cl])[Cl])[C@@]1(O)[H])[C@@]([H])(OCCOCCO[C@@](O)([H])C([Cl])([Cl])[Cl])[C@@]2(O)[H],1
cerivastatin,COC/C1=C(/N=C(C(/C=C/[C@@](O)([H])C[C@@](O)([H])CC(O)=O)=C1/C2=C/C=C(/[F])C=C2)C(C)(C)[H])C(C)(C)[H],1
cetohexazine,CC=1/C=C(/C)C(=O)NN=1,1
cetophenicol (cetofenicol),CC(=O)C1=CC=C(C=C1)[C@@](O)([H])[C@@]([H])(CO)NC(=O)C([Cl])([Cl])[H],1
cetotiamine,CCOC(=O)OCCC([S]C(=O)OCC)=C(C)N(C/C1=C/N=C(/C)N=C1N)C=O,1
chloralhydrate,OC(O)([H])C([Cl])([Cl])[Cl],1
chloralose,OC[C@@](O)([H])[C@@]2([H])O[C@@]1([H])O[C@@]([H])(O[C@@]1([H])[C@@]2(O)[H])C([Cl])([Cl])[Cl],1
chloramphenicol,OC[C@@]([H])(NC(=O)C([Cl])([Cl])[H])[C@@](O)([H])C1=CC=C(C=C1)N(=O)=O,1
chlordiazepoxide,CN/C2=N/C1=C/C=C(/[Cl])C=C1C(=N(=O)C2)C3=CC=CC=C3,1
chlorhexadol (chloralodol),C[C@@]([H])(CC(C)(C)O)O[C@@](O)([H])C([Cl])([Cl])[Cl],1
chlormezanone,CN1C(=O)CC[S](=O)(=O)[C@@]1([H])C2=C/C=C(/[Cl])C=C2,1
chloroform,[Cl]C([Cl])([Cl])[H],1
chloroprednisone-acetate,CC(=O)OCC(=O)[C@@]3(O)CC[C@@]4([H])[C@@]2([H])C[C@@]([Cl])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([H])C(=O)C[C@@]34C,1
chromocarb,OC(=O)C2=CC(=O)C1=CC=CC=C1O2,1
ciclesonide,CC(C)([H])C(=O)OCC(=O)[C@@]14O[C@@]([H])(O[C@@]1([H])C[C@@]5([H])[C@@]3([H])CCC2=CC(=O)C=C[C@@]2(C)[C@@]3([H])[C@@](O)([H])C[C@@]45C)[C@@]6([H])CCCCC6,1
ciclotizolam,[Cl]/C1=C/C=C/C=C1/C3=N/CC2=NN=C(N2C=4[S]C([Br])=CC3=4)C5([H])CCCCC5,1
cicortonide,CC(=O)CC(=O)[C@@]14OC(C)(C)O[C@@]1([H])C[C@@]5([H])[C@@]3([H])CC(C#N)=C2C=C(CC[C@@]2(C)[C@@]3([F])[C@@](O)([H])C[C@@]45C)OCC[Cl],1
cilobamine,CC(C)([H])N[C@@]2([H])C1([H])CCC([H])(CC1)[C@@]2(O)C3=C/C=C(/[Cl])C([Cl])=C3,1
cimemoxin,NNCC1([H])CCCCC1,1
cimepanol,CC(C)([H])[C@@](O)([H])[C@@]1([H])CCCCC1,1
cimoxatone,COC[C@@]1([H])CN(C(=O)O1)C3=C/C=C(/OC/C2=C/C=CC(C#N)=C2)C=C3,1
cinoctramide,CO/C2=C/C(/C=C/C(=O)N1CCCCCCC1)=CC(OC)=C2OC,1
cinolazepam,O[C@@]3([H])N=C(/C1=C/C=C/C=C1/[F])C2=CC([Cl])=CC=C2N(CCC#N)C3=O,1
ciprazafone,CN(C(=O)CNC1([H])CC1)C2=C/C=C(/[Cl])C=C2C(=O)C3=CC=C/C=C3/[Cl],1
ciprocinonide,CC5(C)O[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(O5)C(=O)COC(=O)[C@@]6([H])CC6,1
citatepine,CN1CCC3=C(CC1)C2=CC(C#N)=CC=C2[S]C4=CC=CC=C34,1
clebopride,CO/C1=C/C(N)=C([Cl])C=C1C(=O)NC2([H])CCN(CC2)C/C3=C/C=CC=C3,1
clidafidine,[Cl]/C1=C/C=CC([Cl])=C1/N=C2/NCCO2,1
clobazam,CN2C(=O)CC(=O)N(/C1=C/C=CC=C1)C3=CC([Cl])=CC=C23,1
clobetasone,C[C@@]4([H])C[C@@]3([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])C(=O)C[C@@]3(C)[C@@]4(O)C(=O)C[Cl],1
clobetasone-butyrate,CCCC(=O)O[C@@]3(C(=O)C[Cl])[C@@](C)([H])C[C@@]4([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])C(=O)C[C@@]34C,1
clocapramine,NC(=O)[C@@]4(CCN(CCCN2C1=CC=CC=C1CCC3=C/C=C(/[Cl])C=C23)CC4)N5CCCCC5,1
clocortolone,C[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([Cl])[C@@](O)([H])C[C@@]3(C)[C@@]4([H])C(=O)CO,1
clocortolone-acetate,C[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([Cl])[C@@](O)([H])C[C@@]3(C)[C@@]4([H])C(=O)COC(C)=O,1
clocortolone-pivalate,C[C@@]4([H])C[C@@]3([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([Cl])[C@@](O)([H])C[C@@]3(C)[C@@]4([H])C(=O)COC(=O)C(C)(C)C,1
clodazon,CN(C)CCCN2C(=O)N(/C1=C/C=CC=C1)C3=CC([Cl])=CC=C23,1
clofenciclan,CCN(CC)CCOC1(CCCCC1)C2=C/C=C(/[Cl])C=C2,1
clofluperol,O[C@@]2(CCN(CCCC(=O)C1=C/C=C(/[F])C=C1)CC2)C3=C/C=C(/[Cl])C(=C3)C([F])([F])[F],1
clomethiazole,CC=1N=C[S]C=1CC[Cl],1
clopenthixol (zuclopenthixol),OCCN4CCN(CC/C=C2/C1=CC=CC=C1[S]C3=C/C=C(/[Cl])C=C23)CC4,1
cloperidone,[Cl]/C1=C/C=CC(=C1)N4CCN(CCCN3C(=O)NC2=CC=CC=C2C3=O)CC4,1
clopimozide,[F]/C1=C/C=C(C=C1)C([H])(CCCN2CCC([H])(CC2)N3C(=O)NC4=CC([Cl])=CC=C34)C5=C/C=C(/[F])C=C5,1
cloprednol,C[C@@]13C=CC(=O)C=C1C([Cl])=C[C@@]4([H])[C@@]2([H])CC[C@@](O)(C(=O)CO)[C@@]2(C)C[C@@](O)([H])[C@@]34[H],1
clorethate (cloretate),[Cl]C([Cl])([Cl])COC(=O)OCC([Cl])([Cl])[Cl],1
clorgiline,CN(CCCO/C1=C/C=C(/[Cl])C=C1[Cl])CC#C,1
cloroperone,[F]/C1=C/C=C(C=C1)C(=O)CCCN2CCC([H])(CC2)C(=O)C3=C/C=C(/[Cl])C=C3,1
clorotepine,CN1CCN(CC1)[C@@]3([H])CC2=CC=CC=C2[S]C4=C/C=C(/[Cl])C=C34,1
clotiazepam,CC/C2=C/C=1C(=NCC(=O)N(C)C=1[S]2)C3=CC=C/C=C3/[Cl],1
cloticasone (cloticasone-propionate),CCC(=O)O[C@@]3(C(=O)[S]C[Cl])[C@@](C)([H])C[C@@]4([H])[C@@]2([H])C[C@@]([F])([H])C1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]34C,1
clotixamide (clotixamide),CNC(=O)CCN4CCN(CC/C=C2/C1=CC=CC=C1[S]C3=C/C=C(/[Cl])C=C23)CC4,1
clozapine,CN1CCN(CC1)C3=NC2=CC([Cl])=CC=C2NC4=CC=CC=C34,1
cogazocine,CC[C@@]24CCN(C[C@@]1([H])CCC1)[C@@]([H])(CC3=C/C=C(/O)C=C23)C4(C)C,1
conorphone (conorfone),CC[C@@]4([H])CC(=O)[C@@]1([H])O/C2=C(/OC)C=CC=3C[C@@]5([H])N(CC[C@@]1(C2=3)[C@@]45[H])C[C@@]6([H])CC6,1
cormetasone,C[C@@]4([H])C[C@@]3([H])[C@@]2([H])CC([F])([F])C1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(O)C(=O)CO,1
cortexolone (cortodoxone cortifen),C[C@@]12CCC(=O)C=C1CC[C@@]3([H])[C@@]2([H])CC[C@@]4(C)[C@@]3([H])CC[C@@]4(O)C(=O)CO,1
cortisone-acetate,CC(=O)OCC(=O)[C@@]3(O)CC[C@@]4([H])[C@@]2([H])CCC1=CC(=O)CC[C@@]1(C)[C@@]2([H])C(=O)C[C@@]34C,1
cortisuzol,C[C@@]4([H])C[C@@]3([H])[C@@]2([H])C=C(C)C1=CC6=C(C[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]3(C)[C@@]4(O)C(=O)COC(=O)C5=CC=CC(=C5)[S](O)(=O)=O)C=NN6/C7=C/C=CC=C7,1
cortivazol,C[C@@]4([H])C[C@@]3([H])[C@@]2([H])C=C(C)C1=CC5=C(C[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]3(C)[C@@]4(O)C(=O)COC(C)=O)C=NN5/C6=C/C=CC=C6,1
cotinine,CN1C(=O)CC[C@@]1([H])C2=CC=CN=C2,1
