sponsor,count
Incyte Corporation,185
Shahid Beheshti University of Medical Sciences,185
RenJi Hospital,185
Meir Medical Center,184
"Merck KGaA, Darmstadt, Germany",183
Bausch & Lomb Incorporated,183
"Johnson & Johnson Vision Care, Inc.",183
Helsinki University Central Hospital,183
"University Hospital, Brest",181
"Gustave Roussy, Cancer Campus, Grand Paris",180
Bispebjerg Hospital,180
University Hospitals Cleveland Medical Center,179
KU Leuven,179
National Center for Research Resources (NCRR),178
University of Southern Denmark,178
Poitiers University Hospital,178
Université de Sherbrooke,178
Zagazig University,178
Federico II University,177
Xijing Hospital,177
Region Skane,177
"Institut National de la Santé Et de la Recherche Médicale, France",175
Göteborg University,174
Teva Pharmaceuticals USA,173
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",173
National Institutes of Health Clinical Center (CC),172
OHSU Knight Cancer Institute,172
University of Iowa,172
Hamilton Health Sciences Corporation,171
Erasmus Medical Center,170
Hvidovre University Hospital,169
"Taipei Veterans General Hospital, Taiwan",169
Turku University Hospital,169
Fox Chase Cancer Center,168
Nanfang Hospital of Southern Medical University,168
McGill University,167
Peking University Third Hospital,166
Temple University,165
Forest Laboratories,165
Technische Universität München,165
Alexandria University,165
Ferring Pharmaceuticals,164
Vertex Pharmaceuticals Incorporated,163
"The University of Texas Medical Branch, Galveston",163
Aga Khan University,163
Chulalongkorn University,163
University of Valencia,163
University of Vermont,162
Gynecologic Oncology Group,162
Penn State University,162
"SCRI Development Innovations, LLC",162
Galderma R&D,162
University of Nove de Julho,162
UNICANCER,161
Albert Einstein College of Medicine,161
Tianjin Medical University Cancer Institute and Hospital,161
Hopital Foch,160
Henry Ford Health System,159
Umeå University,159
The First Affiliated Hospital with Nanjing Medical University,159
National Institute of Mental Health (NIMH),158
Alexion Pharmaceuticals,158
Leiden University Medical Center,157
Mylan Pharmaceuticals Inc,157
Karolinska University Hospital,156
"Institute of Liver and Biliary Sciences, India",156
Wayne State University,155
"Amsterdam UMC, location VUmc",154
University of Erlangen-Nürnberg Medical School,154
Novartis Vaccines,154
Kaohsiung Medical University Chung-Ho Memorial Hospital,154
"International Centre for Diarrhoeal Disease Research, Bangladesh",153
"Astellas Pharma Global Development, Inc.",153
Hanmi Pharmaceutical Company Limited,153
Seattle Children's Hospital,152
Haukeland University Hospital,152
UConn Health,151
Radiation Therapy Oncology Group,151
Eastern Cooperative Oncology Group,151
Sidney Kimmel Cancer Center at Thomas Jefferson University,151
Pennington Biomedical Research Center,151
Catholic University of the Sacred Heart,150
Ipsen,149
Singapore General Hospital,149
Sohag University,149
University of Malaya,148
Medical University of Warsaw,148
National Eye Institute (NEI),147
"AbbVie (prior sponsor, Abbott)",147
Nova Scotia Health Authority,147
"Hospital for Special Surgery, New York",146
The Netherlands Cancer Institute,146
"National Cancer Center, Korea",146
"Western University, Canada",146
Mitsubishi Tanabe Pharma Corporation,145
Arizona State University,144
Tufts University,144
Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,144
Marmara University,143
Lund University,143
Sunovion,142
"University Hospital, Limoges",142
Hospital Universitari Vall d'Hebron Research Institute,142
Universidad de Granada,142
Vanderbilt-Ingram Cancer Center,141
The Miriam Hospital,141
Shandong University,141
"University Hospital, Tours",140
Istanbul University-Cerrahpasa,138
Stony Brook University,137
University of Liege,137
Technische Universität Dresden,137
"HaEmek Medical Center, Israel",137
Ludwig-Maximilians - University of Munich,136
State University of New York at Buffalo,136
Zhejiang University,136
Chiesi Farmaceutici S.p.A.,136
Assaf-Harofeh Medical Center,135
U.S. Army Medical Research and Development Command,133
Hillel Yaffe Medical Center,133
University Medical Centre Ljubljana,133
Rhode Island Hospital,132
Jazz Pharmaceuticals,132
Actelion,132
University of Illinois at Urbana-Champaign,132
Barbara Ann Karmanos Cancer Institute,131
Royal Marsden NHS Foundation Trust,131
Nationwide Children's Hospital,131
Kasr El Aini Hospital,131
NHS Greater Glasgow and Clyde,130
Medtronic Cardiac Rhythm and Heart Failure,130
AHS Cancer Control Alberta,129
Ottawa Heart Institute Research Corporation,129
Aarhus University Hospital,129
Bial - Portela C S.A.,129
Sheffield Teaching Hospitals NHS Foundation Trust,128
"Sahlgrenska University Hospital, Sweden",128
Hasselt University,128
Florida State University,127
Queen Mary University of London,126
Sandoz,125
Ege University,125
RWTH Aachen University,125
"Coopervision, Inc.",125
First Affiliated Hospital Xi'an Jiaotong University,125
Purdue University,124
Daewoong Pharmaceutical Co. LTD.,124
Mclean Hospital,123
University of Cologne,123
"Otsuka Pharmaceutical Co., Ltd.",123
Centre Leon Berard,123
"University of Campinas, Brazil",123
Zhejiang Cancer Hospital,123
Guy's and St Thomas' NHS Foundation Trust,122
Tufts Medical Center,121
Baylor Research Institute,121
Swiss Federal Institute of Technology,121
Janssen Pharmaceutical K.K.,121
Aristotle University Of Thessaloniki,121
Shaare Zedek Medical Center,121
Ajou University School of Medicine,120
Universidade Federal de Pernambuco,120
National Cheng-Kung University Hospital,119
Capital Medical University,119
Shanghai Mental Health Center,119
Herlev Hospital,118
University of Birmingham,118
Taipei Medical University,118
Swiss Group for Clinical Cancer Research,117
"Eisai Co., Ltd.",117
University of Leeds,117
Zealand University Hospital,117
Isfahan University of Medical Sciences,117
Changhai Hospital,117
"All India Institute of Medical Sciences, New Delhi",116
"University Hospital, Antwerp",116
West China Hospital,116
Gazi University,116
Minia University,116
NCIC Clinical Trials Group,115
Beijing Tiantan Hospital,115
Ataturk University,115
Dokuz Eylul University,115
Augusta University,114
Centre Hospitalier Universitaire Vaudois,114
Soroka University Medical Center,114
University of South Carolina,114
"Kyowa Kirin Co., Ltd.",113
Abbott Nutrition,113
Bezmialem Vakif University,113
American University of Beirut Medical Center,112
"ANRS, Emerging Infectious Diseases",112
Children's Mercy Hospital Kansas City,112
CHU de Reims,112
Khon Kaen University,110
Coloplast A/S,110
Al-Azhar University,110
TC Erciyes University,110
"Mount Sinai Hospital, Canada",109
IRCCS San Raffaele,109
Vastra Gotaland Region,109
Galapagos NV,109
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",109
Damascus University,109
St. Justine's Hospital,108
University of Oslo,108
"University of Turin, Italy",108
Zimmer Biomet,108
Parc de Salut Mar,108
BeiGene,108
Istanbul Medipol University Hospital,108
Loyola University,107
"University Hospital, Gentofte, Copenhagen",107
Pontificia Universidad Catolica de Chile,107
Huazhong University of Science and Technology,107
Pamukkale University,107
"Fuda Cancer Hospital, Guangzhou",107
University Hospital Muenster,106
University of Bern,106
University of Oulu,106
University of Manchester,106
Idorsia Pharmaceuticals Ltd.,105
Kessler Foundation,105
Institut du Cancer de Montpellier - Val d'Aurelle,105
Peking University First Hospital,105
Northumbria University,105
Shiraz University of Medical Sciences,105
Shirley Ryan AbilityLab,105
Case Western Reserve University,103
West Virginia University,103
Seagen Inc.,102
Makerere University,102
GE Healthcare,102
The Catholic University of Korea,102
Linkoeping University,102
"National University, Singapore",102
British Columbia Cancer Agency,101
Ann & Robert H Lurie Children's Hospital of Chicago,101
CSL Behring,101
University of Chile,101
Meshalkin Research Institute of Pathology of Circulation,101
Hannover Medical School,100
Wageningen University,100
Harvard School of Public Health (HSPH),100
Ranbaxy Laboratories Limited,100
National Institute on Aging (NIA),99
Jordi Gol i Gurina Foundation,99
Roxane Laboratories,99
Children's Hospital of Fudan University,99
Henan Cancer Hospital,99
"Fondazione IRCCS Istituto Nazionale dei Tumori, Milano",98
University of Connecticut,98
IRCCS Azienda Ospedaliero-Universitaria di Bologna,98
University of Padova,98
Baxter Healthcare Corporation,98
St. Olavs Hospital,98
Federal University of Minas Gerais,98
Universidad Complutense de Madrid,98
Innovent Biologics (Suzhou) Co. Ltd.,98
Cambridge University Hospitals NHS Foundation Trust,97
Tampere University Hospital,97
Butler Hospital,96
University Medicine Greifswald,96
Beijing Cancer Hospital,96
Inonu University,96
Institut Paoli-Calmettes,95
Actavis Inc.,95
National Yang Ming University,95
George Washington University,94
Universidade Federal do Rio de Janeiro,94
CHU de Quebec-Universite Laval,94
"Ionis Pharmaceuticals, Inc.",93
Children's Hospital Los Angeles,93
RAND,93
St. Joseph's Healthcare Hamilton,93
HealthPartners Institute,93
"Air Force Military Medical University, China",93
"Orion Corporation, Orion Pharma",92
Baskent University,92
Benha University,92
Baxalta now part of Shire,91
University of Ulm,91
University of Bergen,91
University of Leipzig,91
Endo Pharmaceuticals,91
Institut Curie,91
Centre Oscar Lambret,91
"Xinhua Hospital, Shanghai Jiao Tong University School of Medicine",91
Creighton University,90
Johann Wolfgang Goethe University Hospital,90
St. Louis University,90
"Samuel Lunenfeld Research Institute, Mount Sinai Hospital",90
Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,90
Medtronic - MITG,90
University of Milan,90
Aalborg University,90
Hutchison Medipharma Limited,90
Jaeb Center for Health Research,89
Medstar Health Research Institute,89
Mario Negri Institute for Pharmacological Research,89
University of Dundee,89
Tongji Hospital,89
Postgraduate Institute of Dental Sciences Rohtak,89
Boston University Charles River Campus,88
University of Tennessee,88
Aalborg University Hospital,88
Guang'anmen Hospital of China Academy of Chinese Medical Sciences,88
Royan Institute,88
University of Medicine and Dentistry of New Jersey,87
French National Agency for Research on AIDS and Viral Hepatitis,87
Wake Forest University,87
Erasme University Hospital,87
Kuopio University Hospital,87
Rockefeller University,86
Bayside Health,86
Danish Headache Center,86
Guangdong Provincial People's Hospital,86
Astellas Pharma Europe B.V.,86
"Dong-A ST Co., Ltd.",86
Akdeniz University,86
Michigan State University,85
University of Delaware,85
Solvay Pharmaceuticals,85
University of Reading,85
Istituto Ortopedico Rizzoli,85
Dow University of Health Sciences,85
Mallinckrodt,84
Federal University of Rio Grande do Sul,84
Gynuity Health Projects,84
University Hospital of North Norway,84
Groupe Hospitalier Paris Saint Joseph,84
University Hospital Heidelberg,84
Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,84
University of Glasgow,83
EMD Serono,83
University of Helsinki,83
Deutsches Herzzentrum Muenchen,83
Philipps University Marburg Medical Center,83
University Hospital Schleswig-Holstein,83
PATH,83
Istituto Clinico Humanitas,83
Johannes Gutenberg University Mainz,83
Mashhad University of Medical Sciences,83
Federal University of Health Science of Porto Alegre,83
Spaulding Rehabilitation Hospital,82
Vrije Universiteit Brussel,82
HK inno.N Corporation,81
Chonbuk National University Hospital,81
Cukurova University,81
Fondation Ophtalmologique Adolphe de Rothschild,81
San Diego State University,80
Indiana University School of Medicine,80
Population Health Research Institute,80
University of Cape Town,80
Medical University Innsbruck,80
Tri-Service General Hospital,80
King Saud University,80
Gangnam Severance Hospital,80
Drexel University,79
"Clinica Universidad de Navarra, Universidad de Navarra",79
PETHEMA Foundation,79
Cephalon,78
Barts & The London NHS Trust,78
Rothman Institute Orthopaedics,78
Yuhan Corporation,78
Huashan Hospital,78
Fondazione Policlinico Universitario Agostino Gemelli IRCCS,78
William Beaumont Hospitals,77
Université de Montréal,77
"Boryung Pharmaceutical Co., Ltd",77
The First Affiliated Hospital of Soochow University,77
"Alkermes, Inc.",76
"Tibotec Pharmaceuticals, Ireland",76
University of Aberdeen,76
"Wuhan Union Hospital, China",76
Aswan University Hospital,76
Hartford Hospital,75
Nemours Children's Clinic,75
"Heinrich-Heine University, Duesseldorf",75
Institut Bergonié,75
Texas A&M University,75
Nanjing Medical University,75
King's College Hospital NHS Trust,75
Kaohsiung Veterans General Hospital.,75
National Institute on Alcohol Abuse and Alcoholism (NIAAA),74
New York University,74
Edwards Lifesciences,74
Q-Med AB,74
Hamad Medical Corporation,74
University of Houston,74
"Centocor, Inc.",73
"Daiichi Sankyo Co., Ltd.",73
Institut Claudius Regaud,73
LG Life Sciences,73
"Charles University, Czech Republic",73
Universidade Federal de Sao Carlos,73
"University of California, Berkeley",73
Masimo Corporation,73
Glaxo Wellcome,72
InSightec,72
University of Lausanne Hospitals,72
Wolfson Medical Center,72
Azidus Brasil,72
Torrent Pharmaceuticals Limited,72
Ain Shams Maternity Hospital,72
United Therapeutics,71
"Glostrup University Hospital, Copenhagen",71
University of Turku,71
University of Athens,71
University of Malaga,71
"Third Affiliated Hospital, Sun Yat-Sen University",71
Shanghai Chest Hospital,71
First Affiliated Hospital of Zhejiang University,71
Beni-Suef University,71
UCB Biopharma SRL,71
University of Mississippi Medical Center,70
State University of New York - Upstate Medical University,70
"National Cancer Centre, Singapore",70
"University Hospital, Linkoeping",70
Brooke Army Medical Center,70
Inje University,70
University of Bologna,70
University of Thessaly,70
Universidade Federal do Rio Grande do Norte,70
Instituto de Investigación Hospital Universitario La Paz,70
"Sixth Affiliated Hospital, Sun Yat-sen University",70
Zhujiang Hospital,70
Massachusetts Eye and Ear Infirmary,69
Far Eastern Memorial Hospital,69
Universita di Verona,69
"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico",69
Centre Francois Baclesse,69
"Coordinación de Investigación en Salud, Mexico",69
EMS,69
"National Cancer Institute, Egypt",69
BioMarin Pharmaceutical,68
ResMed,68
KK Women's and Children's Hospital,68
Hospital Israelita Albert Einstein,68
Shanghai University of Traditional Chinese Medicine,68
Hôpital le Vinatier,68
Taipei Medical University WanFang Hospital,68
"Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh",68
University of Exeter,68
Shanghai Henlius Biotech,68
Akeso,68
"Intermountain Health Care, Inc.",67
"National Health Research Institutes, Taiwan",67
Institut Cancerologie de l'Ouest,67
"Xuanwu Hospital, Beijing",67
Taro Pharmaceuticals USA,67
Prince of Songkla University,67
Universidade Estadual Paulista Júlio de Mesquita Filho,67
Eastern Mediterranean University,67
Medical Research Council,66
Virginia Polytechnic Institute and State University,66
Royal Brompton & Harefield NHS Foundation Trust,66
University of Sydney,66
The Methodist Hospital Research Institute,66
Ullevaal University Hospital,66
Providence Health & Services,66
"University Hospital, Bonn",66
Taichung Veterans General Hospital,66
University of Ottawa,66
3M,66
Universiti Sains Malaysia,66
University of Jena,66
Geisinger Clinic,66
Central South University,66
Gachon University Gil Medical Center,66
Denver Health and Hospital Authority,66
Region Örebro County,66
Canadian Cancer Trials Group,66
University Hospital Ostrava,66
"Sunshine Lake Pharma Co., Ltd.",66
Burzynski Research Institute,65
Steno Diabetes Center Copenhagen,65
Children's National Research Institute,65
Ono Pharmaceutical Co. Ltd,65
Chiang Mai University,65
University of Hawaii,65
"Southwest Hospital, China",65
Lee's Pharmaceutical Limited,65
Ankara University,65
Universitat Internacional de Catalunya,65
Fujian Medical University,65
Fondazione Don Carlo Gnocchi Onlus,65
Centre Hospitalier Régional d'Orléans,65
"Nanjing First Hospital, Nanjing Medical University",65
Menoufia University,65
GERCOR - Multidisciplinary Oncology Cooperative Group,64
Cubist Pharmaceuticals LLC,64
IRCCS Policlinico S. Matteo,64
University of Cambridge,64
C. R. Bard,64
Texas Tech University Health Sciences Center,64
Korea University Anam Hospital,64
"National Cancer Institute, Naples",64
"University of Campania ""Luigi Vanvitelli""",64
King Faisal Specialist Hospital & Research Center,64
Abant Izzet Baysal University,64
"EMD Serono Research & Development Institute, Inc.",64
"Betta Pharmaceuticals Co., Ltd.",64
PepsiCo Global R&D,64
Universidade do Porto,64
Universidad Católica San Antonio de Murcia,64
Sonova AG,64
University of Kansas,63
MetroHealth Medical Center,63
Tata Memorial Hospital,63
Jules Bordet Institute,63
Cordis Corporation,63
Ruhr University of Bochum,63
Grünenthal GmbH,63
Fisher and Paykel Healthcare,63
University of Alcala,63
The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,63
Kocaeli University,63
Universiti Putra Malaysia,63
Procter and Gamble,62
Cancer Research UK,62
"Institute of Cancer Research, United Kingdom",62
Neurocrine Biosciences,62
Gruppo Italiano Malattie EMatologiche dell'Adulto,62
"Hospital Authority, Hong Kong",62
Jiangsu Province Centers for Disease Control and Prevention,62
"Jinling Hospital, China",62
National and Kapodistrian University of Athens,62
Green Cross Corporation,62
"First Affiliated Hospital, Sun Yat-Sen University",62
Universidad Rey Juan Carlos,62
Rijnstate Hospital,61
"Queen's University, Belfast",61
Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,61
Merz Pharmaceuticals GmbH,61
Hull University Teaching Hospitals NHS Trust,61
Unilever R&D,61
Women's College Hospital,61
Institute of Hematology & Blood Diseases Hospital,61
"Shanghai Junshi Bioscience Co., Ltd.",61
IWK Health Centre,60
Kirby Institute,60
NorthShore University HealthSystem,60
Montreal Heart Institute,60
Vejle Hospital,60
University Hospital Southampton NHS Foundation Trust,60
Biocad,60
"Jiangsu Hansoh Pharmaceutical Co., Ltd.",60
University of Guadalajara,60
"Spectrum Pharmaceuticals, Inc",59
Florida International University,59
Manchester University NHS Foundation Trust,59
PTC Therapeutics,59
Université Catholique de Louvain,59
University College Dublin,59
Colorado State University,59
Lexicon Pharmaceuticals,59
Beijing Friendship Hospital,59
ECOG-ACRIN Cancer Research Group,58
"Pacira Pharmaceuticals, Inc",58
ALK-Abelló A/S,58
"University Hospital, Akershus",58
Medicines for Malaria Venture,58
East Carolina University,58
Repros Therapeutics Inc.,58
Hospital Universitari de Bellvitge,58
Universität Duisburg-Essen,58
Shanghai Ninth People's Hospital Affiliated to Shanghai Jiao Tong University,58
Medipol University,58
University of Leicester,57
University Hospital Freiburg,57
"St George's, University of London",57
University of Melbourne,57
Children's Hospital of Eastern Ontario,57
Johnson & Johnson Consumer and Personal Products Worldwide,57
Oxford University Hospitals NHS Trust,57
University of Waterloo,57
Wills Eye,57
Campus Bio-Medico University,57
AdventHealth,57
Instituto de Cardiologia do Rio Grande do Sul,57
University of Jordan,57
Selcuk University,57
Fujian Cancer Hospital,57
National Taipei University of Nursing and Health Sciences,57
NSABP Foundation Inc,56
Jewish General Hospital,56
Oregon Research Institute,56
"Peter MacCallum Cancer Centre, Australia",56
The University of Queensland,56
"University of Colorado, Boulder",56
The University of New South Wales,56
Institut de Recherches Internationales Servier,56
"Stiefel, a GSK Company",56
Janssen-Cilag International NV,56
Christiana Care Health Services,56
Beijing Chao Yang Hospital,56
Chung Shan Medical University,56
Centre Hospitalier Departemental Vendee,56
Ondokuz Mayıs University,56
Imam Abdulrahman Bin Faisal University,56
Hackensack Meridian Health,55
"Astex Pharmaceuticals, Inc.",55
Warner Chilcott,55
Cook Group Incorporated,55
Germans Trias i Pujol Hospital,55
St. Luke's-Roosevelt Hospital Center,55
Carmel Medical Center,55
Maisonneuve-Rosemont Hospital,55
University of Southampton,55
Purdue Pharma LP,55
Mackay Memorial Hospital,55
Walter Reed National Military Medical Center,55
University Magna Graecia,55
University College Cork,55
Federal University of Paraíba,55
Cardenal Herrera University,55
Tel Aviv University,55
Konkuk University Medical Center,55
Aydin Adnan Menderes University,55
Brugmann University Hospital,55
Izmir Katip Celebi University,55
Cornell University,54
Medtronic Diabetes,54
Corporacion Parc Tauli,54
Tan Tock Seng Hospital,54
Pierre Fabre Medicament,54
Maastricht University,54
Theravance Biopharma,54
Shalvata Mental Health Center,54
"Southeast University, China",54
"Smith & Nephew, Inc.",54
Beijing Tongren Hospital,54
Acibadem University,54
University of Electronic Science and Technology of China,54
Universidad de Zaragoza,54
Shenzhen Geno-Immune Medical Institute,54
University of Lahore,54
National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),53
Pharmacyclics LLC.,53
The Medicines Company,53
AIDS Clinical Trials Group,53
Universidad de Antioquia,53
Basque Health Service,53
Joslin Diabetes Center,53
Bnai Zion Medical Center,53
Jagiellonian University,53
