nctid,status,why_stop,label,phase,diseases,icdcodes,drugs,smiless,criteria
NCT00659399,withdrawn,"
    low accrual
  ",0,phase 1,['ovarian carcinoma'],"[""['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']""]",['fondaparinux'],['CO[C@H]1O[C@H](COS(O)(=O)=O)[C@@H](O[C@@H]2O[C@H]([C@@H](O[C@H]3O[C@H](COS(O)(=O)=O)[C@@H](O[C@@H]4O[C@@H]([C@@H](O[C@H]5O[C@H](COS(O)(=O)=O)[C@@H](O)[C@H](O)[C@H]5NS(O)(=O)=O)[C@H](O)[C@H]4O)C(O)=O)[C@H](OS(O)(=O)=O)[C@H]3NS(O)(=O)=O)[C@H](O)[C@H]2OS(O)(=O)=O)C(O)=O)[C@H](O)[C@H]1NS(O)(=O)=O'],"
        Inclusion Criteria:

          -  Patients 18 years of age and ≤75 years of age

          -  Biopsy-proven ovarian, tubal or primary peritoneal epithelial adenocarcinomas;

          -  Performance status 0,1 (ECOG) ( table 2)

          -  Patients at high risk of clinical relapse: first remission stage III/IV who were
             suboptimally debulked (residual disease >1 cm)

          -  Patients of any stage who have recurred and are in second chemotherapy induced
             remission. Clinical remission defined as:

               -  absence of symptoms that may be related to disease

               -  imaging without abnormalities greater then or equal to 1 cm suspicious for
                  disease (no ascites)

               -  CA 125 obtained x 1 and <35 units/ml.

          -  Adequate end organ function, defined as the following:

               -  Total bilirubin < 1.5 x ULN

               -  SGOT and SGPT < 2.5 x UNL

               -  Creatinine < 1.5 x ULN

               -  ANC > 1.5 x 109/L

               -  Platelets > 100 x 109/L

               -  Weight ≥ 50 kg

        Exclusion Criteria:

          -  Patients with performance status ECOG =2,3,4

          -  Patients who are on warfarin or prior therapeutic anticoagulation

          -  Patient has another primary malignancy that has required active intervention within 5
             years, with the exception of basal cell skin cancer or a cervical carcinoma in situ.

          -  Patient has a severe and/or uncontrolled medical disease (i.e., uncontrolled diabetes,
             chronic renal disease, or active uncontrolled infection).

          -  Patient who had a major surgery within 2 weeks prior to study entry

          -  Patients with the following lab abnormalities:

               -  WBC <3000

               -  absolute neutrophil count < 1,500

               -  hemoglobin <10 g/dL

               -  platelet < 100,000

               -  creatinine clearance <30 cc/min

               -  serum ALT, AST, or total bilirubin >1.5X the upper limit of normal

          -  Patients with known bleeding disorder
      "
NCT00659945,completed,,1,phase 4,['postoperative nausea and vomiting'],"[""['R11.10', 'R11.12', 'R11.14', 'R11.11', 'K91.0', 'O21.2', 'O21.8']""]","['aprepitant plus ondansetron', 'ondansetron plus placebo']","['C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F', 'CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2']","
        Inclusion Criteria:

          -  Written informed consent

          -  ASA (American Society of Anesthesiologists physical status) 1-3

          -  Male and female Age 18 to 65 years

          -  Plastic surgical procedure (Breast, Face, Liposuction, etc., and excluding peripheral
             procedures such as hand surgery and limited-scope split-thickness skin grafts) of at
             least 1 hour in duration

          -  General anesthesia

          -  Presence of 2 (men)/3 (women) or more risk factors for PONV

          -  Ambulatory surgery with same-day discharge planned

        Exclusion Criteria:

          -  Patient refusal

          -  Patients who have received other antiemetics prior to their procedure

          -  History of allergy or sensitivity to study drugs

          -  Pregnancy - Patients are asked date of last menstrual period, use of birth control,
             tubal ligation, if they have had unprotected sexual intercourse and if they think if
             there is any possibility of being pregnant, and when appropriate, a pregnancy test
             will be obtained which is the standard of care at Magee-Womens Hospital.

          -  Patients with a history of chronic opioid use (chronic pain syndrome) as these
             patients will be less likely to have PONV
      "
NCT00663052,completed,,1,phase 4,"['plaque psoriasis', 'psoriasis']","[""['L40.0', 'L40.4', 'L40.8', 'L40.9', 'L40.1', 'L40.50']"", ""['L40.0', 'L40.4', 'L40.8', 'L40.9', 'L40.1', 'L40.50']""]","['etanercept', 'etanercept']","['[O-][N+](=O)OC[C@@H](O[N+]([O-])=O)[C@H](CO[N+]([O-])=O)O[N+]([O-])=O', '[O-][N+](=O)OC[C@@H](O[N+]([O-])=O)[C@H](CO[N+]([O-])=O)O[N+]([O-])=O']","
        Inclusion Criteria:

          -  18 years of age or older at time of consent.

          -  Active, moderate to severe chronic plaque psoriasis defined by the following criteria:
             Clinically stable, plaque psoriasis involving greater than or equal to 10% body
             surface area (BSA) or PASI greater than or equal to 10.

          -  In the opinion of the investigator, failure, intolerance, contraindication or not a
             candidate for the following: Methotrexate (MTX), cyclosporine and psoralen plus
             ultraviolet A radiation (PUVA) therapy.

        Exclusion Criteria:

          -  Evidence of skin conditions (e.g., eczema) other than psoriasis that would interfere
             with evaluations of the effect of study medication on psoriasis.

          -  Rheumatologic disease such as rheumatoid arthritis, systemic lupus erythematous,
             systemic vasculitis, scleroderma and polymyositis, or associated syndromes.

          -  Active or recent (within 2 years) tuberculosis (TB) infection.
      "
NCT00663793,completed,,1,phase 1,"['contraception', 'hypogonadism']","[""['Z92.0', 'Z30.012', 'Z30.09']""]","['acyline', 'testosterone', 'finasteride']","['CC(C)C[C@H](NC(=O)[C@@H](CC1=CC=C(NC(C)=O)C=C1)NC(=O)[C@H](CC1=CC=C(NC(C)=O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CC=CN=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O', '[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C', '[H][C@@]12CC[C@H](C(=O)NC(C)(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C']","
        Inclusion Criteria:

          -  males between 18 to 50 years of age in good general health based on normal screening
             evaluation

          -  must agree not to participate in another research drug study during participation

          -  must agree to not donate blood during the study

          -  must be willing to comply with the study protocol and procedures

          -  must agree to use an acceptable form of contraception

          -  agrees to not take medications other than the study drugs for the duration of the
             study

        Exclusion Criteria:

          -  Subject in poor health, determined by medical history physical and lab results

          -  a known history or current use of alcohol, drug or steroid abuse and/or use of more
             than 3 alcohol beverages per day

          -  Participation in a long-term contraceptive study within the past two months

          -  History of bleeding disorders or current use of anti-coagulants

          -  History of sleep apnea and/or major psychiatric disorders
      "
NCT00667420,terminated,"
    closed due to slow accrual
  ",0,phase 1/phase 2,"['esophageal adenocarcinoma', 'gastric adenocarcinoma']","[""['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']"", ""['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']""]","['panitumumab, epirubicin, oxaliplatin, xeloda']",['CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O'],"
        Inclusion Criteria:

          -  Patients must have histologically or cytologically confirmed diagnosis of
             adenocarcinoma of the stomach, gastroesophageal junction, or lower third of the
             esophagus, AJCC stage II-IIIB (gastric) or IIA-IVA (esophageal). M1a disease will be
             included, but not T4 lesions.

          -  No prior radiation or chemotherapy including anti-EGFR or vascular endothelial growth
             factor (VEGF) antibody or tyrosine kinase inhibitor treatments.

          -  All patients must have staging endoscopic ultrasound (EUS) prior to enrollment.

          -  Men or Women >18 years of Age

          -  ECOG performance status <2 (Karnofsky >60%, see Appendix A).

          -  Cardiac ejection fraction >45% by echocardiogram or MUGA scan.

          -  Must be able to either swallow pills or have gastrostomy tube in place for
             administration of enteral medications.

          -  Patients must have normal organ, metabolic and marrow function as defined below:

               -  Hematologic function, as follows:

                    -  Absolute neutrophil count (ANC) ≥ 1.5 x 109/L

                    -  Platelet count ≥ 100 x 109/L

                    -  Hemoglobin ≥ 9.0 g/dL

               -  Renal function, as follows:

                    -  Creatinine < or = 1.5 mg/dL x ULN

        Hepatic function, as follows:

          -  Aspartate aminotransferase (AST) and Alanine aminotransferase (ALT)< or = 3 x ULN

          -  Total bilirubin < 1.5 x ULN

        Metabolic function, as follows:

          -  Magnesium ≥ lower limit of normal

          -  Calcium < or = lower limit of normal -Human IgG is known to cross the placental
             barrier; therefore, Panitumumab may be transmitted from the mother to the developing
             fetus. In women of childbearing potential, appropriate contraceptive measures must be
             used during treatment with panitumumab and for 6 months following the last dose of
             panitumumab. If panitumumab is used during pregnancy or if the patient becomes
             pregnant while receiving this drug, she should be apprised of the potential risk for
             loss of the pregnancy or potential hazard to the fetus.

        3.1.10 Ability to understand and the willingness to sign and date a written IEC/IRB
        approved informed consent form.

        Exclusion Criteria:

          -  Evidence of distant metastatic disease.

          -  T4 tumor on initial staging studies.

          -  History of another primary cancer, except:

          -  Curatively treated in situ cervical cancer

          -  Curatively resected non-melanoma skin cancer

          -  Other primary solid tumor curatively treated with no known active disease present and
             no treatment administered for ³ 5 years prior to enrollment

          -  Relative or absolute contraindications to surgery which in the opinion of the
             investigator make the patient a poor candidate for surgical resection.

          -  History of allergic reactions attributed to compounds of similar chemical or biologic
             composition to panitumumab or other agents used in study.

          -  Subjects requiring chronic use of immunosuppressive agents (e.g., methotrexate,
             cyclosporine).

          -  Uncontrolled intercurrent illness including, but not limited to, ongoing or active
             infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac
             arrhythmia, or psychiatric illness/social situations that would limit compliance with
             study requirements.

          -  History of interstitial lung disease e.g. pneumonitis or pulmonary fibrosis or any
             evidence of interstitial lung disease on baseline chest CT scan.

          -  History of any medical or psychiatric condition or laboratory abnormality that in the
             opinion of the investigator may increase the risks associated with the study
             participation or investigational product(s) administration or may interfere with the
             interpretation of the results.

          -  Subject unwilling or unable to comply with study requirements.

          -  Women who test positive for serum or urine pregnancy test < 72 hours before
             randomization or are breast feeding.

          -  Known positive test(s) for human immunodeficiency virus infection, hepatitis C virus,
             acute or chronic active hepatitis B infection.

          -  Major surgery with 28 days or minor surgery within 14 days of study enrollment.

          -  Men or women of child-bearing potential (women who are post-menopausal < 52 weeks, not
             surgically sterilized, or not abstinent) not consenting to use adequate contraception
             (per institutional standard of care) during the course of the study and after the last
             investigational product(s) administration (24 weeks for women, 4 weeks for men).

          -  Subjects with > grade 1 neuropathy at baseline.

          -  Contraindication to port-a-cath placement.
      "
NCT00669864,completed,,1,phase 4,"['diabetes', 'diabetes mellitus, type 2']","[""['E23.2', 'N25.1', 'P70.2', 'O24.92', 'Z83.3', 'Z86.32', 'E10.65']"", ""['E11.65', 'E11.9', 'E11.21', 'E11.36', 'E11.41', 'E11.42', 'E11.44']""]","['biphasic insulin aspart 30', 'metformin']","['[Na+].[Na+].[O-]P([O-])(F)=O', '[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1']","
        Inclusion Criteria:

          -  Type 2 diabetes

          -  Currently treated with basal insulin once or twice daily with or without oral
             anti-diabetic drugs (OADs) for at least 3 months

          -  HbA1c (glycosylated haemoglobin A1c) within the range of 7.5% to10.0% ( both
             inclusive)

          -  BMI (Body Mass Index) maximum 40 kg/m2

        Exclusion Criteria:

          -  Metformin contraindications according to local practice

          -  Systemically treated with TZDs (thiazolidinediones) for more than one month within 6
             months prior to this trial
      "
NCT00672477,completed,,1,phase 4,['opioid-induced constipation'],"[""['F11.14', 'F11.181', 'F11.182', 'F11.188', 'F11.19', 'F11.24', 'F11.281']""]","['methylnaltrexone', 'placebo']",['C[N@+]1(CC2CC2)CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@]2(O)CCC4=O)=C35'],"
        Inclusion Criteria:

          -  Is an adult 18 years of age or older

          -  Has a diagnosis of advanced illness (ie, a terminal illness such as incurable cancer
             or other end-stage disease)

          -  Has a life expectancy of at least 1 month.

          -  Is receiving opioids on a regular schedule (not just as-needed or rescue doses) for
             the control of pain or discomfort for at least 2 weeks before the first dose of study
             drug.

          -  Has constipation that is caused by opioid medications.

        Exclusion Criteria:

          -  Has a known or suspected allergy to methylnaltrexone or other similar compounds (e.g.
             naltrexone or naloxone).

          -  Has a known or suspected mechanical gastrointestinal obstruction.

          -  Has any potential nonopioid cause of bowel dysfunction that might be a major
             contributor to the constipation.

          -  Has any other clinically important abnormalities as determined by the investigator
             that may interfere with his or her participation in or compliance with the study.

          -  Receiving opioid antagonist or partial antagonist products.
      "
NCT00673452,completed,,1,phase 4,['fibromyalgia'],"[""['M79.7']""]","['duloxetine hydrochloride', 'placebo']",['CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1'],"
        Inclusion Criteria:

          -  male or female patients

          -  aged 18 and older who meet criteria for fibromyalgia as defined by the American
             College of Rheumatology

          -  have a score of at least 4 on the average pain item of the Brief Pain Inventory (BPI)
             (modified short form) at visits 1 and 2

          -  all females must test negative for pregnancy at the time of enrollment

          -  have a degree of understanding such that the patient can provide informed consent,
             complete protocol required assessments and communicate intelligibly with the
             investigator and study coordinator.

        Exclusion Criteria:

          -  have pain symptoms related to traumatic injury, structural rheumatic disease, or
             regional rheumatic disease that will interfere with interpretation of outcome measures

          -  have regional pain syndrome, multiple surgeries or failed back syndrome

          -  have confirmed current or previous diagnosis of rheumatoid arthritis, inflammatory
             arthritis, or infectious arthritis, or an autoimmune disease (i.e. systemic lupus
             erythematosus)
      "
NCT00673465,completed,,0,phase 1,['type 2 diabetes mellitus'],"[""['E11.65', 'E11.9', 'E11.21', 'E11.36', 'E11.41', 'E11.42', 'E11.44']""]","['sch 497079', 'placebo', 'metformin']",['[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1'],"
        Inclusion Criteria:

          -  >=18 years of age to 65 years of age, of either sex, and having a body mass index
             (BMI) between 27 and 35, inclusive (USA participants)

          -  Clinical laboratory tests (complete blood count, blood chemistry, and urinalysis)
             within normal limits (excluding glucose and other changes usually associated with
             diabetes eg, dyslipidemia)

          -  Type 2 diabetes mellitus

        Exclusion Criteria:

          -  Female participants who are premenopausal or are not surgically sterilized.
             Participants who are pregnant, intend to become pregnant (within 3 months of ending
             the study), or are breast-feeding.

          -  Participants who have received insulin therapy within 6 months, prior to Day 1/Period
             1 or who require thiazide diuretics, beta-blockers and cyclic hormone therapy.
      "
NCT00677352,completed,,1,phase 4,['panic disorder'],"[""['F40.01', 'F40.02', 'F41.0']""]","['sertraline', 'paroxetine']","['CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12', 'FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1']","
        Inclusion Criteria:

          -  Patient who meets diagnosis of Panic Disorder (with or without Agoraphobia) according
             to Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition (DSM IV).

          -  Patients must have experienced at least 4 panic attacks within 4 weeks before
             screening.

          -  At baseline patients with Panic Disorder of total score of 18 or higher on the Panic
             and Agoraphobia scale (clinician rated version).

        Exclusion Criteria:

          -  Patients who concurrently have bipolar disorder, schizophrenia, delusional disorder,
             epilepsy, Major Depression Disorder (MDD), Obsessive Compulsive Disorder (OCD),
             Seasonal Affective Disorder (SAD) or General Anxiety Disorder (GAD) according to the
             DSM-IV criteria.

          -  Patients who concurrently have depression/depressive state, anxiety disorder and
             generalized anxiety disorder may be included in the study if the primary diagnosis is
             identified to be panic disorder

          -  Patients with the total score of at least 18 on the Hamilton Depression Rating Scale
             (HAM-D) (Items 1 to 17) at the start of Screening (Visit 1)

          -  Patients who require concomitant drug therapy with psychotropic agents (including
             benzodiazepines) and monoamine oxidase inhibitor during the period of the study.
      "
NCT00678691,completed,,1,phase 4,"['fibromyalgia, primary']","[""['M79.7']""]","['armodafinil', 'placebo']",['NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1'],"
        Inclusion Criteria:

          -  If possible, 60 subjects will be included in this study.

          -  All males/females of any race are eligible if aged between 18 and 65 and

          -  Subjects must speak English and have capacity to receive and utilize informed consent

          -  Agree to use barrier method contraception or are infertile x2 years due to medical
             condition or surgery

          -  Have been formally diagnosed by a Board Certified Rheumatologist using the ACR 1990
             research criteria for fibromylagia

          -  Report that fatigue, in addition to FM pain is a key distressing symptom of their FM

          -  Have a score of >4 on the Brief Fatigue Inventory (BFI)

          -  Women of child bearing potential must agree to use barrier contraception as
             armodafinil may decrease the effectiveness of oral contraceptives

        Exclusion Criteria:

          -  Exclusion: Subjects cannot

          -  Be pregnant or be attempting to conceive at present (urine bHCG must be negative)

          -  Have an active substance abuse problem with last use within the past 180 days (outside
             of nicotine)

          -  Use other stimulating medication ie stimulants, caffeine products (this refers to OTC
             stimulants OR patients clinically tolerant to and withdrawing from caffeinated
             beverages, bupropion, desipramine, etc UNLESS said drug has been in steady dosing for
             >4 weeks

          -  Have a known medical condition outside of FM that causes fatigue (i.e. obstructive
             apnea, hypothyroidism, depression, etc)

          -  Have a known medical condition or other medication use that relatively contraindicates
             armodafinil use (ie substance abuse, sensitivity to armodafinil, known cardiac
             abnormalities of left ventricular hypertrophy, recent MI, mitral valve prolapse
             dependent on stimulant use, history of psychosis

          -  Has a prior history of modafinil use and failure

          -  Be receiving daytime sedating medication with clear chronological impact on fatigue
             UNLESS fatigue predates sedating medication or said medication has been steadily dosed
             > 4 weeks

          -  Medications that induce/inhibit p450 3A4 as they may alter armodafinil plasma levels,
             and vica versa
      "
NCT00680056,completed,,1,phase 4,"['pulmonary disease, chronic obstructive', 'chronic bronchitis', 'pulmonary emphysema']","[""['J44.9', 'J44.1', 'J44.0']"", ""['J41.0', 'J41.1', 'J42', 'J41.8', 'J40']"", ""['J43.0']""]","['formoterol plus placebo (tiotropium)', 'formoterol plus tiotropium']","['[H][C@]12O[C@@]1([H])[C@]1([H])C[C@@]([H])(C[C@@]2([H])[N+]1(C)C)OC(=O)C(O)(C1=CC=CS1)C1=CC=CS1', 'COC1=CC=C(CC(C)NCC(O)C2=CC(NC=O)=C(O)C=C2)C=C1']","
        Inclusion Criteria:

          -  COPD patients aged ≥ 40 years with stable moderate-to-severe airflow obstruction (FEV1
             < 70% and FEV1/FVC ≤ 70% of predicted normal value) post-bronchodilator

          -  presenting with a long history of smoking (> 20 pack-years) and chronic breathlessness
             (Baseline Dyspnoea Index total score < 9)

        Exclusion Criteria:

          -  significant cardiovascular disease, hospitalization for COPD exacerbation or presence
             of a respiratory tract infection within 1 month of screening

          -  current or childhood asthma

          -  a history of allergic rhinitis or other atopic disease

          -  inability to interrupt usual bronchodilator medication

          -  use of oral steroids within a month before screening

          -  need for long-term oxygen therapy, arterial oxygen saturation < 85% at rest anemia,
             hypo- and hyperthyroidism, hyperadrenergic state

          -  uncontrolled insulin dependent diabetes mellitus, malignancy, or any disease or
             condition which limits exercise performance other than COPD

          -  change in inhaled corticosteroid or theophylline use within 1 month prior to screening
      "
NCT00687674,terminated,"
    due to study design (and toxicity), this trial closed to accrual prior to opening the phase ii
    portion.
  ",0,phase 1,['multiple myeloma and plasma cell neoplasm'],"[""['C96.20', 'C96.29', 'D47.09']""]","['dexamethasone', 'sorafenib tosylate', 'lenalidomide']","['[H][C@]12CC3=C(C=C(OC)C=C3)[C@@]3(CCCC[C@]13[H])CCN2C', 'CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1', 'NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O']","
        DISEASE CHARACTERISTICS:

          -  Diagnosis of multiple myeloma

               -  Relapsed or refractory disease requiring treatment

          -  Measurable disease, as defined by at least 1 of the following:

               -  Serum monoclonal protein ≥ 1.0 g

               -  More than 200 mg of monoclonal protein in the urine on 24-hour electrophoresis

               -  Serum immunoglobulin free light chain ≥ 10 mg/dL AND abnormal serum
                  immunoglobulin kappa to lambda free light chain ratio

               -  Monoclonal bone marrow plasmacytosis ≥ 30% (i.e., evaluable disease)

          -  No known standard therapy that is potentially curative for the patient's disease

        PATIENT CHARACTERISTICS:

          -  ECOG performance status 0-2

          -  Life expectancy ≥ 12 weeks

          -  ANC ≥ 1,000/μL

          -  Platelet count ≥ 75,000/μL

          -  Hemoglobin ≥ 9 g/dL

          -  Direct bilirubin ≤ 1.5 times upper limit of normal (ULN)

          -  AST ≤ 3 times ULN (≤ 5 times ULN if the liver is involved)

          -  Creatinine ≤ 2.5 times ULN

          -  Patients with treated or untreated POEMS (Patient-Oriented Evidence That Matters)
             allowed, provided they satisfy the criteria for measurable disease

          -  No other prior malignancy within the past year except currently treated basal cell or
             squamous cell skin cancer, carcinoma in situ of the cervix or breast, or prostate
             cancer not requiring therapy

          -  No other active malignancy requiring treatment that would interfere with the
             assessments of response of the myeloma to protocol treatment

          -  INR < 1.5 OR PT/PTT ≤ 1.5 times ULN

               -  Patients receiving anticoagulation treatment with an agent such as warfarin or
                  heparin are allowed

          -  Not pregnant or nursing

          -  Negative pregnancy test

          -  Fertile patients must use 2 methods of effective contraception for 28 days prior,
             during, and for 28 days after discontinuation of lenalidomide

          -  Willing to provide research samples according to the test schedule

          -  No uncontrolled infection

          -  No NYHA classification III or IV heart disease

          -  No unstable angina (i.e., anginal symptoms at rest), new-onset angina (i.e., began
             within the past 3 months), or myocardial infarction within the past 6 months

          -  No uncontrolled hypertension, defined as systolic blood pressure > 150 mm Hg or
             diastolic pressure > 90 mm Hg, despite optimal medical management

          -  No thrombotic or embolic events within the past 6 months, including cerebrovascular
             accidents and transient ischemic attacks

          -  More than 4 weeks since prior pulmonary hemorrhage or other bleeding event > grade 2

          -  No serious nonhealing wound or ulcer

          -  More than 4 weeks since prior significant traumatic injury

          -  No known positivity for HIV infection or infectious hepatitis, type A, B, or C

          -  No known hypersensitivity to thalidomide or lenalidomide

          -  No prior development of erythema nodosum if characterized by a desquamating rash while
             taking thalidomide or similar drugs

          -  Able to take aspirin (325 mg) daily as prophylactic anticoagulation

        PRIOR CONCURRENT THERAPY:

          -  Recovered from prior chemotherapy, regardless of interval since last treatment

          -  Prior lenalidomide therapy allowed

          -  More than 4 weeks since prior experimental therapy

          -  More than 4 weeks since prior major surgery or open biopsy

          -  No concurrent enrollment in any other study involving a pharmacologic agent or
             investigative therapy (i.e., drug, biologic, immunotherapy approaches, gene therapy)
             whether for symptom control or therapeutic intent

          -  No other concurrent chemotherapy, immunotherapy, radiotherapy, or any ancillary
             therapy considered investigational

          -  No concurrent cytochrome P450 enzyme-inducing antiepileptic drugs (i.e., phenytoin,
             carbamazepine, and phenobarbital), rifampin, or Hypericum perforatum (St. John wort)
      "
NCT00691483,completed,,1,phase 4,['smoking cessation'],"[""['Y36.881S', 'Y36.891S', 'Y36.880S', 'Y36.881A', 'Y36.881D', 'Y36.890S', 'Y36.891A']""]","['placebo', 'varenicline']",['[H][C@]12C[C@]([H])(CNC1)C1=CC3=NC=CN=C3C=C21'],"
        Inclusion Criteria:

          -  Men and women

          -  18 to 75 yrs old

          -  Motivated to stop smoking

          -  Smoke at least 10 cigarettes/day

        Exclusion Criteria:

          -  Active psychiatric disease

          -  Severe or unstable cardiovascular or pulmonary disease

          -  Current or recent treatment to stop smoking

          -  Previous use of varenicline
      "
NCT00696410,completed,,0,phase 1,"['heart failure', 'cardiomyopathies']","[""['I50.814', 'I09.81', 'I50.82', 'I50.89', 'I50.9', 'T86.22', 'I11.0']"", ""['I42.8']""]",['zinc acetate'],['[Zn]'],"
        Inclusion Criteria:

          -  Subjects (n=40) ≥21 years of age with chronic (≥1 year duration) nonischemic
             cardiomyopathy (NISCM), New York Heart Association (NYHA) functional class II-III
             symptoms on stable medical therapy (≥3 months of stable doses of β-blocker,
             angiotensin inhibitor or receptor blocker, and aldosterone inhibitor [if appropriate]
             therapies) with a documented left ventricular (LV) ejection fraction ≤40% and evidence
             of LV dilation will be eligible for study participation.

          -  The diagnosis of a nonischemic etiology for the cardiomyopathy must be supported by
             coronary angiography, stress echocardiography, or nuclear scintigraphy.

          -  To allow for a comparison of treatment effect in diabetic versus nondiabetic NISCM,
             half (n=20) of the subjects enrolled will be diabetic

        Exclusion Criteria:

          -  Subjects with HF that is deemed to be ischemic, congenital, valvular, or infiltrative
             in etiology, or chemotherapy/toxin-induced will not be eligible for enrollment.

          -  Other exclusion criteria include the presence of a life-threatening illness with a
             projected survival ≤6 months;

          -  recurrent ventricular arrhythmias; end-stage renal failure;

          -  ongoing infection;

          -  inability to follow-up;

          -  collagen vascular disease (lupus, sarcoid);

          -  enrollment in another investigational study;

          -  unstable or symptomatic peripheral artery disease;

          -  prior or active Zn supplementation;

          -  or ongoing alcohol abuse.
      "
NCT00696774,completed,,1,phase 4,"['depressive disorder, major']","[""['F33.0', 'F33.1', 'F33.9', 'F32.0', 'F32.1', 'F32.9', 'F33.40']""]",['duloxetine'],['N[C@@H](CCCNC(N)=N)C(O)=O'],"
        Inclusion Criteria:

          -  Male or female outpatients aged 18 years or older who meet criteria for Major
             Depressive Disorder (MDD).

          -  Currently receiving a selective serotonin reuptake inhibitor (SSRI) or a
             serotonin-norepinephrine reuptake inhibitor (SNRI) class of antidepressant for at
             least a month for the treatment of depression.

          -  Females of child-bearing potential (not surgically sterilized and between menarche and
             1 year postmenopause) to test negative for pregnancy based on a urine pregnancy test
             and to agree to use a reliable method of birth control.

        Exclusion Criteria:

          -  Women who are pregnant or plan to be pregnant or are breastfeeding.

          -  To have received treatment within the last 30 days with a drug that has not received
             regulatory approval for any indication.

          -  Diagnosed with treatment resistant depression.

          -  History of bipolar disorder, schizophrenia, or other psychotic disorders.

          -  To have previously taken duloxetine that didn't work.

          -  Judged to be at serious suicidal risk in the opinion of the investigator and/or score
             >=3 on Item 3 (suicide) of the 17-Item Hamilton Depression Rating Scale (HAMD-17) at
             screening (Visit 1) or baseline (Visit 2).

          -  A serious medical illness that may need treatment during the study.

          -  Taking certain medications that are not allowed in this study.

          -  To have a history of alcohol and/or drug abuse or dependence within the past year.

          -  To have uncontrolled narrow-angle glaucoma.

          -  To have allergic reactions to many medicines.

          -  To have undergone ""shock"" therapy (Electroconvulsive Therapy) or ""magnet"" treatment
             (Transcranial Magnetic Stimulation) within the past year.

          -  To initiate ""talk therapy"" (psychotherapy) just before or during the study.

          -  To have chronic pain and you have been taking medicine for it for the last 6 months.

          -  To have certain liver diseases.

          -  To have kidney disease or undergoing dialysis.

          -  Abnormal thyroid stimulating hormone (TSH) concentration.
      "
NCT00700999,completed,,1,phase 4,['post-traumatic stress disorder'],"[""['F43.10', 'F43.11', 'F43.12']""]",['paroxetine'],['FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1'],"
        Inclusion Criteria:

          -  Veterans with clinical diagnosis of post-traumatic stress disorder from combat related
             to deployment to Afghanistan/Iraq (Operation Enduring Freedom/Operation Iraqi Freedom)

        Exclusion Criteria:

          -  Intolerance or sensitivity to paroxetine

          -  Major medical or neurologic illness

          -  Current psychotropic medication or active psychotherapy treatment

          -  Other major psychiatric illness
      "
