nctid,status,why_stop,label,phase,diseases,icdcodes,drugs,smiless,criteria
NCT00714649,completed,,1,phase 1/phase 2,['head and neck cancer'],"[""['C76.0', 'C47.0', 'C49.0', 'C77.0', 'D17.0', 'D21.0', 'D36.11']""]",['cetuximab'],['[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\\C1=CSC(N)=N1)C(O)=O'],"
        Inclusion Criteria:

          -  More than 18 years

          -  Histologically proven squamous cell carcinoma of the oral cavity, oropharynx,
             hypopharynx or larynx

          -  patients selected for a primary surgical treatment

          -  No distant metastases

          -  No active second malignancy during the last 5 years

          -  No prior or concurrent evidence of uncontrolled severe pathology precluding
             administration of surgery

          -  life expectancy more than 3 months

          -  Not pregnant or nursing; fertile patients both male or female, must use effective
             contraception

          -  Signed informed consent

          -  Performance Status ECOG 0-1

        Exclusion Criteria:

          -  Nasopharynx cancer

          -  Past or current malignancy other than HNSCC

          -  performance Status ECOG above 2

          -  Concurrent chronic systemic immune therapy, chemotherapy, or hormone therapy not
             indicated in the study protocol

          -  Use of any investigationals agents within 4 weeks prior ti entry

          -  Previous exposure to EGFR targeting therapy

          -  Known grade hypersensitivity to cetuximab
      "
NCT01218477,completed,,1,phase 1/phase 2,['leukemia'],"[""['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']""]","['dasatinib', 'bms-833923']",['CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1'],"
        Key Inclusion Criteria

          -  Age ≥18 years

          -  Diagnosis of chronic myeloid leukemia (CML) and cytogenetic positive for the
             Philadelphia chromosome (Ph+), documented Ph+ cells on bone marrow assessment (BMA) ≤6
             weeks prior to treatment

          -  Either chronic-phase CML, with <15% blasts in peripheral blood and bone marrow, or
             advanced-phase CML, including Ph+ acute lymphoblastic leukemia (ALL) (> 5% blasts) or
             hematologic progression with ≥15% blasts not in complete cytogenetic remission

          -  Resistance or suboptimal response to imatinib, dasatinib, or nilotinib and no known
             T315I/A Abl-kinase mutation.

        Key Exclusion Criteria

          -  Known Abl-kinase T315I or T315A mutation

          -  CCyR at baseline

          -  Any serious or uncontrolled medical disorder or active infection that would impair the
             ability of the subject to receive protocol therapy

          -  Uncontrolled or significant cardiovascular disease

          -  Grade 3 or higher peripheral blood counts

          -  Serum calcium or phosphate below the lower limit of normal

          -  Baseline hypomagnesemia and amylase or lipase at least Grade 1 or higher

          -  Reduced renal function, defined as serum creatinine level >3*upper limit of normal

          -  Prior therapies for CML or Ph+ ALL permitted, with the following restriction:

               -  Therapy permitted with corticosteroids, hydroxyurea, or anagrelide prior to
                  starting treatment and during the first 4 weeks on study

               -  6 months or longer after stem cell transplantation

               -  28 days or longer after any investigational agent

               -  7 days or longer after any standard chemotherapy agent

               -  Concomitant use of medications with a known risk of causing Torsades de Pointes

               -  Concomitant use of strong inhibitors of the CYP3A4 isoenzyme
      "
NCT00100971,terminated,"
    protocol is withdrawn due to inadequate accrual
  ",0,phase 1,['leukemia'],"[""['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']""]","['autologous tumor cell vaccine', 'therapeutic autologous dendritic cells']",['[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O'],"
        DISEASE CHARACTERISTICS:

          -  Diagnosis of acute myeloid leukemia (AML) by bone marrow biopsy

               -  Newly diagnosed

          -  Must have adequate dendritic cells and AML blasts isolated from bone marrow and/or
             peripheral blood

          -  No clinical evidence of CNS leukemia

        PATIENT CHARACTERISTICS:

        Age

          -  18 and over

        Performance status

          -  Not specified

        Life expectancy

          -  Not specified

        Hematopoietic

          -  Not specified

        Hepatic

          -  Not specified

        Renal

          -  Not specified

        Other

          -  Not pregnant or nursing

          -  Negative pregnancy test

          -  Fertile patients must use effective contraception

          -  HIV negative

          -  No clinically significant autoimmune disease

          -  No other active malignancy except nonmelanoma skin cancer

        PRIOR CONCURRENT THERAPY:

        Biologic therapy

          -  More than 3 months since prior immunotherapy

        Chemotherapy

          -  Not specified

        Endocrine therapy

          -  Not specified

        Radiotherapy

          -  Not specified

        Surgery

          -  Not specified
      "
NCT01241461,completed,,1,phase 1,['cancer'],"[""['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']""]",['ly2584702'],['CN1C=C(N=C1C1CCN(CC1)C1=C2C=NNC2=NC=N1)C1=CC=C(F)C(=C1)C(F)(F)F'],"
        Inclusion Criteria:

          -  Have histological or cytological evidence of a diagnosis of advanced and/or metastatic
             cancer (solid tumors) that is refractory to standard therapy and/or therapies known to
             provide clinical benefit, or for which no standard therapy exists.

          -  Have the presence of disease amenable to efficacy assessment as defined by the
             Response Evaluation Criteria In Solid Tumors (RECIST). Japanese patients who have
             advanced non-measurable disease with elevation of a validated tumor marker may be
             eligible, if discussed and agreed upon by the investigator and Lilly.

          -  Have adequate organ function including:

               -  Hematologic: Absolute neutrophil count (ANC) greater than or equal to 1.5 x
                  10^9/liter (L), platelets greater than or equal to 100 x 10^9/L, and hemoglobin
                  greater than or equal to 9 gram/deciliter (g/dL) (transfusions are not allowed
                  prior to enrollment within 2 weeks).

               -  Hepatic: Bilirubin less than or equal to 1.5 times upper limit of normal (ULN),
                  alkaline phosphatase (ALP), alanine transaminase (ALT) and aspartate transaminase
                  (AST) less than or equal to 2.5 times ULN, or 5 times ULN for patients with
                  hepatic metastases. Patients with bone metastases may enter with alkaline
                  phosphatase values less than 5 times ULN, as long as other hepatic parameters
                  meet inclusion criteria.

               -  Renal: Serum creatinine less than or equal to 1.5 times ULN.

          -  Have a performance status of less than or equal to 2 on the Eastern Cooperative
             Oncology Group scale

          -  Have discontinued all previous therapies for cancer, including chemotherapy,
             radiotherapy, cancer-related hormonal therapy prior to study enrollment and recovered
             from the acute effects of therapy.

          -  Have an estimated life expectancy of 12 weeks or greater

          -  Are able to swallow capsules

        Exclusion Criteria:

          -  Have received treatment within 4 weeks of the initial dose of study drug with a drug
             that has not received regulatory approval for any indication.

          -  Have serious preexisting medical conditions or serious concomitant systemic disorders
             that, in the opinion of the investigator, would preclude participation in this study.

          -  Prior clinical history of tuberculosis (patient doubt tuberculosis is screening
             required), and positive test results in hepatitis B surface antigen (HBSAg), or
             hepatitis C antibodies (HCAb) (screening required).

          -  Have symptomatic central nervous system (CNS) malignancy or metastasis. Patients with
             treated CNS metastases are eligible provided their disease is radiographically stable,
             asymptomatic, and they are not currently receiving corticosteroids and/or
             anticonvulsants. Screening of asymptomatic patients without history of CNS metastasis
             is not required.

          -  Have hematologic malignancies, or lymphoma.
      "
NCT00567931,completed,,1,phase 1,"['unspecified adult solid tumor, protocol specific']","[""['H01.009', 'H02.209', 'H02.009', 'H02.109', 'H04.209', 'H05.409', 'H10.509']""]",['1-methyl-d-tryptophan'],['CN1C=C(C[C@@H](N)C(O)=O)C2=CC=CC=C12'],"
        Inclusion Criteria:

          -  Histologically confirmed solid malignancy that is metastatic or unresectable and for
             which standard effective antineoplastic therapy does not exist or is no longer
             effective

          -  Patients are eligible for enrollment into the trial regardless of the types of
             previous therapies administered

          -  Patients with known brain metastases will only be eligible after their tumors have
             been treated with definitive resection and/or radiotherapy and they are neurologically
             stable for at least 1 month off steroids

               -  No known untreated brain metastases

          -  ECOG performance status (PS) 0-2 OR Karnofsky PS 60-100%

          -  Life expectancy > 4 months

          -  WBC ≥ 3,000/μL

          -  ANC ≥ 1,500/μL

          -  Platelet count ≥ 100,000/μL

          -  Total bilirubin ≤ 1.5 times upper limit of normal (ULN)

          -  AST and ALT ≤ 2.5 times ULN

          -  Creatinine normal OR creatinine clearance ≥ 60 mL/min

          -  No history of gastrointestinal disease causing malabsorption or obstruction,
             including, but not limited to, any of the following:

               -  Crohn's disease

               -  Celiac sprue

               -  Tropical sprue

               -  Bacterial overgrowth/blind-loop syndrome

               -  Strictures

               -  Adhesions

               -  Achalasia

               -  Bowel obstruction

          -  Not pregnant or nursing

          -  Negative pregnancy test

          -  Fertile patients must use effective double-method contraception during and for at
             least 1 month after completion of study treatment

          -  No history of allergic reactions (significant urticaria, angioedema, anaphylaxis)
             attributed to compounds of similar chemical or biologic composition to
             1-methyl-d-tryptophan (including L-tryptophan or 5-hydroxy-tryptophan supplements)

          -  No active autoimmune disease (i.e., psoriasis, extensive atopic dermatitis, asthma,
             inflammatory bowel disorder, multiple sclerosis, uveitis, vasculitis), chronic
             inflammatory condition, or any condition requiring concurrent use of any systemic
             immunosuppressants or steroids for any reason

          -  Mild-intermittent asthma requiring only occasional beta-agonist inhaler use or mild
             localized eczema allowed

          -  No uncontrolled concurrent illness including, but not limited to, any of the
             following:

               -  Ongoing or active infection

               -  Symptomatic congestive heart failure

               -  Unstable angina pectoris

               -  Myocardial infarction or percutaneous coronary interventions within the past 6
                  months

               -  Cardiac arrhythmia

               -  Active autoimmune diseases

               -  Major psychiatric illness or social situation that would limit compliance with
                  study requirements as judged by the primary investigator at each site

          -  Patients with well-controlled, chronic medical conditions under the supervision of the
             patient's primary physician (i.e., hypertension, hyperlipidemia, coronary heart
             disease, diabetes mellitus) are eligible

          -  No HIV-positive patients or patients with other acquired/inherited immunodeficiencies

          -  No other active malignancy

          -  No concurrent immunosuppressants, including steroids

          -  Recovered from all prior therapy

          -  No prior gastric bypass surgery

          -  No prior extensive small bowel resection

          -  No prior experimental active immunotherapy consisting of targeted monoclonal
             antibodies or pharmaceutical compounds

               -  Commercially available active immunotherapy (e.g., adjuvant interferon) must have
                  completed therapy over 1 year prior to enrollment and have no evidence of
                  autoimmune sequelae

          -  Prior therapy with approved monoclonal antibodies (e.g., bevacizumab, cetuximab,
             panitumumab, or trastuzumab) allowed

          -  At least 4 weeks since prior and no other concurrent investigational agents

          -  More than 4 weeks since prior chemotherapy or radiotherapy (6 weeks for nitrosoureas
             or mitomycin C)

          -  No concurrent supplements containing L-tryptophan or derivatives

          -  No patients with an allo-transplant of any kind (including those with a xenograft
             heart valve)

          -  No other concurrent commercial agents or therapies
      "
NCT00640315,completed,,1,phase 1,"['hypertension, pulmonary', 'pulmonary disease, chronic obstructive']","[""['I27.0', 'I27.20', 'I27.21', 'I27.24', 'I27.29', 'P29.30', 'I27.22']"", ""['J44.9', 'J44.1', 'J44.0']""]","['riociguat (adempas, bay63-2521) 1.0 mg', 'riociguat (adempas, bay63-2521) 2.5 mg']","['COC(=O)N(C)C1=C(N)N=C(N=C1N)C1=NN(CC2=C(F)C=CC=C2)C2=C1C=CC=N2', 'COC(=O)N(C)C1=C(N)N=C(N=C1N)C1=NN(CC2=C(F)C=CC=C2)C2=C1C=CC=N2']","
        Inclusion Criteria:

          -  Patients with pulmonary hypertension due to COPD, undergoing routine invasive
             measurement of hemodynamic parameters.

          -  Catheters for measurement of hemodynamic parameters (PAP [pulmonary artery pressure],
             PCWP [pulmonary capillary wedge pressure], CO [cardiac output], SBP [systolic blood
             pressure]) must be in place independent of the trial.

        Exclusion Criteria:

          -  Acute exacerbation of COPD,

          -  Pre-existing lung disease other than COPD,

          -  Acute or severe chronic left heart failure,

          -  Severe coronary artery disease,

          -  Uncontrolled arterial hypertension;

          -  Severe left ventricular hypertrophy,

          -  Congenital or acquired valvular or myocardial disease,

          -  Systolic blood pressure < 100 mmHg,

          -  Heart rate < 55 bpm or >105 bpm,

          -  PaO2 (arterial partial oxygen pressure)/FiO2 (fraction of inspired oxygen) < 50 mmHg,

          -  PaCO2 (arterial partial pressure of carbon dioxide) > 55 mmHg,

          -  Severe hepatic insufficiency,

          -  Severe renal insufficiency.
      "
NCT00892801,terminated,"
    terminated due to low accrual. study was closed to accrual prematurely and did not continue on
    to phase ii.
  ",0,phase 1,"['lung cancer', 'metastatic cancer']","[""['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']"", ""['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']""]",['rad001'],['[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\\C=C(C)\\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\\C=C\\C=C\\C=C(C)\\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](O)[C@@H](C1)OC'],"
        DISEASE CHARACTERISTICS:

          -  Radiographically confirmed brain metastases with histopathologically confirmed primary
             non-small cell lung cancer that will benefit from whole-brain radiotherapy

          -  Must have ≥ 1 measurable intracranial site of disease, according to RECIST criteria,
             that has not been previously treated with stereotactic radiation

          -  Must have stable extracranial disease for 4 weeks

        PATIENT CHARACTERISTICS:

          -  ECOG performance status 0-2

          -  Life expectancy ≥ 12 weeks

          -  ANC > 1,500/mm³

          -  Platelets > 100,000/mm³

          -  Hemoglobin > 11 g

          -  BUN ≤ 25 mg

          -  Serum creatinine < 1.5 times upper limit of normal (ULN)

          -  Serum bilirubin ≤ 1.5 times ULN

          -  Serum transaminases ≤ 2 times ULN (< 5 times ULN if patient has liver metastases)

          -  Cholesterol ≤ 300 mg/dL

          -  Triglycerides ≤ 2.5 times ULN

          -  Not pregnant or nursing

          -  Negative pregnancy test

          -  Fertile patients must use effective contraception during and for ≥ 3 months after
             completion of study treatment

          -  No other malignancies within the past 3 years, except for adequately treated carcinoma
             in situ of the cervix or basal or squamous cell carcinomas of the skin

          -  No severe and/or uncontrolled medical conditions or other conditions that could affect
             participation in the study, including any of the following:

               -  Unstable angina pectoris, symptomatic congestive heart failure, myocardial
                  infarction within the past 6 months, or serious uncontrolled cardiac arrhythmia

               -  Severely impaired lung function (i.e., FEV1 < 0.8 cc)

               -  Uncontrolled diabetes as defined by fasting serum glucose ≥ 1.5 times ULN

               -  Any active (acute or chronic) or uncontrolled infection/disorders

               -  Non-malignant medical illnesses that are uncontrolled or whose control may be
                  jeopardized by the treatment with the study therapy

               -  Liver disease, such as cirrhosis, chronic active hepatitis, or chronic persistent
                  hepatitis

          -  No known history of HIV seropositivity

          -  No impairment of gastrointestinal function or gastrointestinal disease that may
             significantly alter the absorption of everolimus (e.g., ulcerative disease,
             uncontrolled nausea, vomiting, diarrhea, malabsorption syndrome, or small bowel
             resection)

          -  No active, bleeding diathesis

          -  No known hypersensitivity to everolimus or other rapamycin (i.e., sirolimus,
             temsirolimus) or to its excipients

          -  No history of noncompliance to medical regimens

        PRIOR CONCURRENT THERAPY:

          -  See Disease Characteristics

          -  Recovered from the acute toxicities of any prior therapy

          -  Prior surgical resection of a brain metastasis allowed

               -  The extent of surgical resection in patients having prior resection of 1 of
                  multiple metastases shall be documented as a biopsy, subtotal resection, or total
                  resection as described by the operative report and/or post-operative imaging

          -  At least 3 weeks since prior major surgery or completion of extracranial radiation

          -  At least 3 weeks since prior and no concurrent systemic anticancer therapy, other than
             the study medications administered as part of this study protocol

          -  At least 6 weeks since prior nitrosoureas

          -  More than 1 week since prior and no concurrent immunization with attenuated live
             vaccines

          -  More than 3 weeks since prior chemotherapy

          -  No prior brain radiotherapy of any form

          -  No concurrent chronic treatment with systemic steroids or other immunosuppressive
             agents, except steroids for neurological stability following the diagnosis of brain
             metastases

          -  No prior treatment with an mTOR inhibitor

          -  No concurrent anti-vitamin K medication, except low dose coumarin

          -  No concurrent drugs or substances known to be inhibitors or inducers of the isoenzyme
             CYP3A

          -  No other concurrent investigational therapy
      "
NCT00444236,terminated,"
    the sponsor decided to terminate the study due to slow enrollment.
  ",0,phase 1,"['exercise triggered asthma', 'gastroesophageal reflux']","[""['K21.9', 'K21.00', 'K21.01']""]","['nexium', 'placebo']","['COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1', 'CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O']","
        Inclusion Criteria:

          -  We plan to take athletes (cyclists) with GER (heartburn symptoms on a daily-weekly
             basis which are either improved by a trial of acid suppression or objectively
             documented via pH/endoscopic testing- this may include during exercise) who experience
             one or more of the following symptoms during exercise, limiting their perceived
             ability to exercise to full capacity:

               -  choking

               -  cough

               -  wheezing

               -  shortness of breath

               -  chest tightness during exercise

          -  Athletes will be defined as persons who exercise on a routine basis (at least 3 times
             a week on average) for at least the past 6 months.

          -  Subjects must be at least 18 years old.

        Exclusion Criteria:

          -  Pregnancy

          -  Age less than 18 years or greater than 65 years

          -  Abnormal methacholine challenge tests will not exclude one from enrollment as (has
             been documented in a prior study) often patients with GER will have heightened
             bronchial reactivity.
      "
NCT00591214,completed,,1,phase 1,['chronic hepatitis c'],"[""['B18.2', 'B18.0', 'B18.1', 'B18.8', 'B18.9', 'K71.3', 'K71.4']""]",['mp-424 (telaprevir)'],['[H][C@@]12CCC[C@]1([H])[C@H](N(C2)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1=NC=CN=C1)C1CCCCC1)C(C)(C)C)C(=O)N[C@@H](CCC)C(=O)C(=O)NC1CC1'],"
        Inclusion Criteria:

          -  Patients diagnosed with genotype 1b chronic hepatitis C

          -  Patients naive to the concomitant medications with interferon

        Exclusion Criteria:

          -  Patients diagnosed with decompensated cirrhosis

          -  Patients diagnosed with positive HBs(Hepatitis B virus surface) antigen in the test
      "
NCT00544362,completed,,0,phase 1/phase 2,['esophageal cancer'],"[""['K22.2', 'K22.81', 'Q39.4', 'P78.83', 'I85.00', 'I85.01', 'I85.10']""]","['cisplatin', 'fluorouracil']","['[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC', '[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1']","
        DISEASE CHARACTERISTICS:

        Inclusion criteria:

          -  Histologically confirmed epidermoid or glandular carcinoma of the thoracic esophagus

               -  Invasive disease

               -  Only Siewert type I gastroesophageal carcinoma allowed

          -  Resectable disease

               -  T1N+, T2N0, T2N+, T3N0, or T3N+ (stage II or III)

               -  No visceral metastases or mediastinal extensions compromising resectability

        Exclusion criteria:

          -  Inoperable disease

          -  Invasion of the tracheo-bronchial tree

          -  Recurring esophageal paralysis

          -  Esopho-tracheal fistula

          -  Cervical esophageal carcinoma (< 19 cm above the dental arches)

          -  Multifocal esophageal carcinoma

          -  Superficial esophageal carcinoma (T1N0)

          -  Esophageal carcinoma in the lymph nodes that cannot be included in the radiotherapy
             field or cannot be completely surgically resected

          -  Proven metastatic disease

        PATIENT CHARACTERISTICS:

        Inclusion criteria:

          -  WHO performance status 0-1

          -  Weight loss < 15%

          -  Absolute neutrophil count ≥ 1,500/mm3

          -  Platelet count ≥ 100,000/mm3

          -  Creatinine ≤ 1.25 times upper limit of normal

          -  PTT ≥ 80%

          -  Albumin ≥ 35 g/L

          -  FEV1 > 1 L

          -  Not pregnant or nursing

          -  Fertile patients of must use effective contraception

        Exclusion criteria:

          -  Known liver cirrhosis

          -  Renal insufficiency

          -  Respiratory insufficiency (i.e., severe dyspnea at rest or oxygen dependence)

          -  Progressive coronary insufficiency

          -  Myocardial infarction in the past 6 months

          -  Legally incapacitated

          -  Impossible to receive study therapy due to geographical, social, or psychological
             reasons

          -  Noncompliant within constraints of the study

          -  Hematologic malignancy or other cancer except carcinoma in situ of the uterine cervix,
             treated nonmelanoma skin cancer, or intramucous disease treated within the past 3
             years

        PRIOR CONCURRENT THERAPY:

        Exclusion criteria:

          -  Prior anticancer chemotherapy or radiotherapy

          -  Treatment with endoprosthesis

          -  Surgery (esophagectomy) planned without thoracotomy
      "
NCT00088023,terminated,,0,phase 1,['neoplasms'],"[""['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']""]",['pt-523 for injection'],['NC1=NC(N)=C2N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCCNC(=O)C3=CC=CC=C3C(O)=O)C(O)=O)C=NC2=N1'],"
        Inclusion Criteria:

          -  Presence of metastatic or inoperable malignancy, other than leukemia or a primary
             central nervous system (CNS) tumor, for which there is no known curative or survival
             prolonging palliative therapy, or failure of these therapies .

          -  Age greater than or equal to 18 years.

          -  Life expectancy greater than or equal to 2 months.

          -  ECOG performance status 0 - 2.

          -  Adequate organ function and bone marrow reserve.

          -  Use of appropriate contraceptive method.

          -  Sign patient informed consent.

        Exclusion Criteria:

          -  Active brain metastases.

          -  Presence of third-space fluid collections (pleural effusion, ascites).

          -  Major surgery within 3 weeks prior to dosing.

          -  Prior chemotherapy or radiation therapy within 3 weeks prior to dosing (6 weeks for
             nitrosoureas or mitomycin-C). Prior antifolate therapy is permitted, as long as it has
             not been administered within 3 weeks prior to dosing with PT-523.

          -  Prior bone marrow transplantation.

          -  Presence of uncontrolled serious medical or psychiatric illness.

          -  Patients requiring radiation therapy.

        There are no limitations on the extent or type of prior therapy received by the patient
        other than the time intervals indicated above, as long as the patient has demonstrated
        complete recovery from any adverse effects, and fulfills all relevant inclusion criteria.
      "
NCT01044966,terminated,"
    the study was terminated due to lack of adequate patient enrollment into trial.
  ",0,phase 1/phase 2,"['glioblastoma multiforme', 'glioma', 'astrocytoma', 'brain tumor']","[""['L51.0', 'L51.8', 'L51.9']"", ""['C71.7', 'C71.9', 'C79.31', 'D33.0', 'D33.1', 'D33.2', 'D49.6']""]",['itv depocyt + temozolomide'],['NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O'],"
        Inclusion Criteria:

          -  Age Patients must be at least 18 years of age but no older than 85 years.

          -  Diagnosis Patients with the histological diagnosis of recurrent GBM made either by
             biopsy or resection of recurrent disease. Cytological evidence of malignant cells in
             CSF and/or clinical and radiographic evidence of leptomeningeal disease are irrelevant
             in terms of inclusion or exclusion into this study. Bihemispheric extension
             (""butterfly GBM""), multi-focality, and/or subependymal spread are not
             contraindications to enrollment.

          -  Prior therapy Patients must have had an initial diagnosis of ""malignant glioma"" (WHO
             grade III or IV) and failed initial surgical resection followed by standard adjuvant
             therapy including external beam radiotherapy to a 2cm margin of 60 Gy, and standard
             temozolomide chemotherapy of 150 to 200 mg per square meter for 5 days during each
             28-day cycle prior to ""recurrence."" Patients must not have received more than one
             other systemic or ITV adjuvant chemotherapy regimen in addition to temozolomide prior
             to enrollment, not including intracavitary Gliadel wafer placement. Prior Gliadel
             wafer placement is not a contradiction to patient enrollment in this trial.

          -  Performance Status Patients must have Karnofsky performance status (KPS) of ≥ 60%.

          -  Recovery from Prior Therapy Patients must have recovered from the acute toxic effects
             of all prior chemotherapy, immunotherapy, or radiotherapy, prior to entering this
             study and must be without significant systemic illness (e.g. infection unresponsive to
             treatment after 7 days). Such that they are healthy enough to safely undergo tumor
             biopsy and Ommaya reservoir placement. Patients must not have received any systemic
             therapy for recurrent disease within 3 weeks (6 weeks if a nitrosourea), or
             irradiation within 8 weeks prior to treatment on this study.

          -  Hematologic Status Patients must have a platelet count > 75,000/mm3 and ANC > 1500/mm3
             within 72 hours prior to ITV DepoCyt treatment.

          -  Hepatic and Renal Status Patients must have adequate liver function (total bilirubin <
             2.0 mg%; ALT, and AST < 4 times normal); adequate renal function (serum creatinine
             <1.6 mg, and BUN < 22); normal serum electrolytes (sodium, potassium, calcium,
             magnesium, and phosphorus).

          -  Informed Consent (See Appendix) All patients or their legal guardians must sign a
             document of informed consent indicating their awareness of the investigational nature
             and the risks of this study.

        Exclusion Criteria:

          -  Patients younger than 18 or older than 85 years of age.

          -  Patients with histological diagnoses other than recurrent GBM.

          -  Patients with a Karnofsky performance status (KPS) < 60%.

          -  Patients that have received more than one other systemic or ITV adjuvant chemotherapy
             regimen in addition to temozolomide, not including intracavitary Gliadel wafer
             placement.

          -  Patients concurrently receiving other therapies (either brachytherapy or systemic)
             designed specifically to treat the recurrent GBM.

          -  Patients within 8 weeks of receiving stereotactic or external beam irradiation.

          -  Patients with a platelet count < 75,000/mm3 and ANC < 1500/mm3 within 72 hours prior
             to ITV DepoCyt and/or oral temozolomide treatment.

          -  Patients with liver dysfunction (total bilirubin > 2.0 mg%; ALT, and AST > 4 times
             normal).

          -  Patients with renal dysfunction (serum creatinine >1.6 mg, and BUN > 22).

          -  Patients with abnormal serum electrolytes (sodium, potassium, calcium, magnesium, and
             phosphorus).

          -  Patients with contraindications to having placement of a ventricular access device
             such as Ommaya reservoir.

          -  Patients with clinical and/or neuroradiographic evidence of hydrocephalus or increased
             intracranial pressure.

          -  Patients with signs and symptoms of systemic infection precluding them from receiving
             chemotherapy or prohibiting Ommaya reservoir placement.

          -  Pregnant and breast feeding women will be excluded. All other women of childbearing
             years must have a negative serum pregnancy test.

          -  Patients with a ventricular-peritoneal or ventricular-atrial shunt.

          -  Prisoners will be excluded from this study.

          -  Patients or their legal guardians not willing or able to sign the informed consent
             document.
      "
NCT01166789,completed,,0,phase 1,['irritable bowel syndrome'],"[""['K58.2', 'K58.8', 'K58.0', 'K58.1', 'K58.9']""]","['lubiprostone', 'placebo']","['[H][C@@]12CC(=O)[C@H](CCCCCCC(O)=O)[C@@]1([H])CC[C@@](O)(O2)C(F)(F)CCCC', 'CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O']","
        Inclusion Criteria:

          -  clinical diagnosis of IBS-C

          -  meeting Rome III diagnostic criteria for IBS-C

          -  age 18 or older

        Exclusion Criteria:

          -  use of laxatives or prokinetics within two weeks prior to the study or during the
             study

          -  use of IBS-specific compounds, opiates, anticholinergics, or any drug likely to cause
             constipation as a side-effect

          -  use of analgesics for 48 hours prior to the study

          -  hypothyroid condition

          -  history of bowel resection except appendectomy or cholecystectomy

          -  psychotic disorder, major depression, substance abuse (other than tobacco), or other
             psychiatric condition likely to interfere with the conduct of the study. Subjects
             treated for depression more than 2 years ago or for situational circumstances may be
             eligible for the study at the investigator's discretion

          -  renal disease

          -  inflammatory or ischemic disease of the rectum

          -  known to be an unreliable subject

          -  Because this study involves exposure to radiation, subjects who are pregnant or
             planning to become pregnant, employees currently working with radiation, and subjects
             who have participated in research involving radiation within the past year will also
             be excluded.
      "
NCT00291577,completed,,0,phase 1,['breast neoplasms'],"[""['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']""]","['sunitinib (sutent)', 'taxotere']","['CCN(CC)CCNC(=O)C1=C(C)NC(\\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C', '[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]']","
        Inclusion Criteria:

          -  Breast cancer with evidence of unresectable, locally recurrent or metastatic disease

          -  Candidate for treatment with docetaxel

        Exclusion Criteria:

          -  Prior chemotherapy in the advanced disease setting

          -  Inflammatory breast cancer

          -  HER2 positive disease
      "
