sponsor,approval_rate,total
MedImmune LLC,0.39669421487603307,121
"University of California, San Francisco",0.17796610169491525,118
"Teva Branded Pharmaceutical Products R&D, Inc.",0.4782608695652174,115
H. Lee Moffitt Cancer Center and Research Institute,0.32142857142857145,112
Stanford University,0.18018018018018017,111
Southwest Oncology Group,0.18181818181818182,110
Novartis Vaccines,0.6146788990825688,109
Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,0.12149532710280374,107
Northwestern University,0.2616822429906542,107
"Genzyme, a Sanofi Company",0.36893203883495146,103
"Otsuka Pharmaceutical Development & Commercialization, Inc.",0.5148514851485149,101
Shire,0.46534653465346537,101
"Millennium Pharmaceuticals, Inc.",0.38,100
Forest Laboratories,0.51,100
Assistance Publique - Hôpitaux de Paris,0.15,100
Roswell Park Cancer Institute,0.15151515151515152,99
Seoul National University Hospital,0.3333333333333333,99
"SCRI Development Innovations, LLC",0.3711340206185567,97
Yale University,0.2708333333333333,96
"Daiichi Sankyo, Inc.",0.40625,96
University of Washington,0.29473684210526313,95
European Organisation for Research and Treatment of Cancer - EORTC,0.1702127659574468,94
Ferring Pharmaceuticals,0.2127659574468085,94
Johns Hopkins University,0.1978021978021978,91
Ipsen,0.28888888888888886,90
Children's Oncology Group,0.375,88
"University Health Network, Toronto",0.20454545454545456,88
University of Chicago,0.18604651162790697,86
Mitsubishi Tanabe Pharma Corporation,0.39759036144578314,83
University of Florida,0.14457831325301204,83
Vertex Pharmaceuticals Incorporated,0.524390243902439,82
LEO Pharma,0.4074074074074074,81
University of Pennsylvania,0.19753086419753085,81
University of Southern California,0.189873417721519,79
Wake Forest University Health Sciences,0.15584415584415584,77
University of Oxford,0.34210526315789475,76
Samsung Medical Center,0.34210526315789475,76
"University of Wisconsin, Madison",0.24,75
University of Alabama at Birmingham,0.1780821917808219,73
Sunovion,0.5416666666666666,72
University of Michigan Rogel Cancer Center,0.16666666666666666,72
"Bausch Health Americas, Inc.",0.5416666666666666,72
Jazz Pharmaceuticals,0.5507246376811594,69
Weill Medical College of Cornell University,0.21739130434782608,69
H. Lundbeck A/S,0.30434782608695654,69
ViiV Healthcare,0.5454545454545454,66
Eastern Cooperative Oncology Group,0.15384615384615385,65
University of Utah,0.16923076923076924,65
Case Comprehensive Cancer Center,0.09375,64
University of Texas Southwestern Medical Center,0.203125,64
University of Miami,0.25,64
University of Pittsburgh,0.21875,64
"Masonic Cancer Center, University of Minnesota",0.14285714285714285,63
"University of Colorado, Denver",0.19047619047619047,63
Regeneron Pharmaceuticals,0.5396825396825397,63
NYU Langone Health,0.16129032258064516,62
Hadassah Medical Organization,0.08064516129032258,62
Sun Yat-sen University,0.3225806451612903,62
"University of North Carolina, Chapel Hill",0.1935483870967742,62
Yonsei University,0.20967741935483872,62
Chiesi Farmaceutici S.p.A.,0.532258064516129,62
Fred Hutchinson Cancer Center,0.19672131147540983,61
Actelion,0.2459016393442623,61
"Otsuka Pharmaceutical Co., Ltd.",0.47540983606557374,61
Asan Medical Center,0.3333333333333333,60
Janssen Pharmaceutical K.K.,0.3793103448275862,58
Incyte Corporation,0.2413793103448276,58
Brigham and Women's Hospital,0.08771929824561403,57
Medical University of South Carolina,0.14035087719298245,57
EMD Serono,0.2631578947368421,57
"Eisai Co., Ltd.",0.45614035087719296,57
Imperial College London,0.375,56
NCIC Clinical Trials Group,0.2727272727272727,55
"Jiangsu HengRui Medicine Co., Ltd.",0.36363636363636365,55
Baylor College of Medicine,0.16981132075471697,53
University of Minnesota,0.1320754716981132,53
The Cleveland Clinic,0.1320754716981132,53
Gynecologic Oncology Group,0.21153846153846154,52
University of Rochester,0.11538461538461539,52
UNICANCER,0.32,50
Jonsson Comprehensive Cancer Center,0.18,50
"University of California, Los Angeles",0.22,50
New York State Psychiatric Institute,0.12,50
City of Hope Medical Center,0.28,50
"Kyowa Kirin Co., Ltd.",0.42,50
Assiut University,0.16,50
UNC Lineberger Comprehensive Cancer Center,0.1836734693877551,49
Columbia University,0.22916666666666666,48
Seagen Inc.,0.2916666666666667,48
"University College, London",0.2916666666666667,48
Vanderbilt-Ingram Cancer Center,0.041666666666666664,48
University of Aarhus,0.14583333333333334,48
Virginia Commonwealth University,0.14583333333333334,48
"University of Maryland, Baltimore",0.1276595744680851,47
Hanmi Pharmaceutical Company Limited,0.425531914893617,47
Radiation Therapy Oncology Group,0.2608695652173913,46
University of British Columbia,0.08695652173913043,46
Baxalta now part of Shire,0.4444444444444444,45
"University of California, San Diego",0.17777777777777778,45
"National Heart, Lung, and Blood Institute (NHLBI)",0.1590909090909091,44
Chong Kun Dang Pharmaceutical,0.20454545454545456,44
Cephalon,0.3023255813953488,43
VA Office of Research and Development,0.046511627906976744,43
Milton S. Hershey Medical Center,0.11904761904761904,42
The University of Texas Health Science Center at San Antonio,0.23809523809523808,42
Medical University of Vienna,0.16666666666666666,42
National Taiwan University Hospital,0.14634146341463414,41
Sheba Medical Center,0.07317073170731707,41
LG Life Sciences,0.5609756097560976,41
Hellenic Oncology Research Group,0.3902439024390244,41
Cubist Pharmaceuticals LLC,0.35,40
"The University of Texas Health Science Center, Houston",0.125,40
Astellas Pharma Europe B.V.,0.3,40
"Astellas Pharma Global Development, Inc.",0.325,40
Dartmouth-Hitchcock Medical Center,0.1794871794871795,39
Icahn School of Medicine at Mount Sinai,0.3076923076923077,39
University of Arkansas,0.15384615384615385,39
University of Cincinnati,0.2564102564102564,39
"ANRS, Emerging Infectious Diseases",0.5128205128205128,39
Tel-Aviv Sourasky Medical Center,0.05128205128205128,39
Fudan University,0.3076923076923077,39
Burzynski Research Institute,0.02631578947368421,38
Fox Chase Cancer Center,0.23684210526315788,38
OHSU Knight Cancer Institute,0.10526315789473684,38
Georgetown University,0.13157894736842105,38
"Gustave Roussy, Cancer Campus, Grand Paris",0.2631578947368421,38
Swiss Group for Clinical Cancer Research,0.32432432432432434,37
University of Nebraska,0.13513513513513514,37
Sidney Kimmel Cancer Center at Thomas Jefferson University,0.05405405405405406,37
"Janssen Korea, Ltd., Korea",0.35135135135135137,37
ALK-Abelló A/S,0.6216216216216216,37
Rabin Medical Center,0.13513513513513514,37
AIDS Clinical Trials Group,0.3611111111111111,36
"Charite University, Berlin, Germany",0.3333333333333333,36
Janssen-Cilag International NV,0.6666666666666666,36
Barbara Ann Karmanos Cancer Institute,0.2,35
Oregon Health and Science University,0.11428571428571428,35
Solvay Pharmaceuticals,0.3142857142857143,35
"Daiichi Sankyo Co., Ltd.",0.6285714285714286,35
Radboud University Medical Center,0.2,35
University of Michigan,0.2,35
"Fuda Cancer Hospital, Guangzhou",0.05714285714285714,35
Beth Israel Deaconess Medical Center,0.23529411764705882,34
Mallinckrodt,0.3939393939393939,33
United Therapeutics,0.2727272727272727,33
"University of California, Davis",0.21212121212121213,33
CSL Behring,0.6363636363636364,33
Bausch & Lomb Incorporated,0.48484848484848486,33
"Ionis Pharmaceuticals, Inc.",0.53125,32
"Centocor, Inc.",0.5,32
Pharmacyclics LLC.,0.5625,32
University of Virginia,0.125,32
University of Zurich,0.125,32
Northwell Health,0.0,32
Vanderbilt University,0.15625,32
Grünenthal GmbH,0.21875,32
Crucell Holland BV,0.25,32
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),0.25806451612903225,31
University of South Florida,0.16129032258064516,31
Medical College of Wisconsin,0.16129032258064516,31
St. Jude Children's Research Hospital,0.03225806451612903,31
"Rutgers, The State University of New Jersey",0.03225806451612903,31
Lawson Health Research Institute,0.03225806451612903,31
Abramson Cancer Center of the University of Pennsylvania,0.3225806451612903,31
Mahidol University,0.25806451612903225,31
Cedars-Sinai Medical Center,0.1935483870967742,31
Circassia Limited,0.5806451612903226,31
Lexicon Pharmaceuticals,0.45161290322580644,31
"Pearl Therapeutics, Inc.",0.7741935483870968,31
Alexion Pharmaceuticals,0.36666666666666664,30
"Spectrum Pharmaceuticals, Inc",0.23333333333333334,30
"Kissei Pharmaceutical Co., Ltd.",0.16666666666666666,30
Cairo University,0.06666666666666667,30
NSABP Foundation Inc,0.2413793103448276,29
"Children's Hospital Medical Center, Cincinnati",0.20689655172413793,29
Montefiore Medical Center,0.20689655172413793,29
University of Louisville,0.06896551724137931,29
Yuhan Corporation,0.06896551724137931,29
Green Cross Corporation,0.3103448275862069,29
Acorda Therapeutics,0.4642857142857143,28
U.S. Army Medical Research and Development Command,0.4642857142857143,28
French National Agency for Research on AIDS and Viral Hepatitis,0.39285714285714285,28
Chugai Pharmaceutical,0.7142857142857143,28
Vanderbilt University Medical Center,0.14285714285714285,28
Galderma R&D,0.35714285714285715,28
Galapagos NV,0.6785714285714286,28
Biocad,0.6071428571428571,28
Ohio State University Comprehensive Cancer Center,0.3333333333333333,27
The Medicines Company,0.48148148148148145,27
Indiana University,0.07407407407407407,27
Thomas Jefferson University,0.18518518518518517,27
Universitaire Ziekenhuizen Leuven,0.18518518518518517,27
Chinese University of Hong Kong,0.2692307692307692,26
"Alkermes, Inc.",0.5769230769230769,26
Rush University Medical Center,0.19230769230769232,26
"Rigshospitalet, Denmark",0.15384615384615385,26
"University Hospital, Basel, Switzerland",0.19230769230769232,26
Purdue Pharma LP,0.3076923076923077,26
"OncoMed Pharmaceuticals, Inc.",0.11538461538461539,26
University Hospitals Cleveland Medical Center,0.2,25
Hospices Civils de Lyon,0.16,25
Ottawa Hospital Research Institute,0.24,25
Hoosier Cancer Research Network,0.08,25
"University of California, Irvine",0.24,25
The University of Hong Kong,0.16,25
University Medical Center Groningen,0.2,25
Idorsia Pharmaceuticals Ltd.,0.32,25
"Pacira Pharmaceuticals, Inc",0.36,25
Hutchison Medipharma Limited,0.4,25
Federation Francophone de Cancerologie Digestive,0.16666666666666666,24
Celgene Corporation,0.2916666666666667,24
Shionogi,0.625,24
Eisai Limited,0.3333333333333333,24
Sunnybrook Health Sciences Centre,0.3333333333333333,24
Pierre Fabre Medicament,0.2916666666666667,24
University of Alberta,0.25,24
Seqirus,0.25,24
"Taiho Oncology, Inc.",0.375,24
Eurofarma Laboratorios S.A.,0.25,24
ECOG-ACRIN Cancer Research Group,0.17391304347826086,23
US Department of Veterans Affairs,0.13043478260869565,23
National Institute of Mental Health (NIMH),0.043478260869565216,23
Warner Chilcott,0.43478260869565216,23
NewLink Genetics Corporation,0.30434782608695654,23
University of Arizona,0.30434782608695654,23
"University Hospital, Bordeaux",0.13043478260869565,23
Loma Linda University,0.0,23
University of Sao Paulo,0.391304347826087,23
Merz Pharmaceuticals GmbH,0.6956521739130435,23
Novavax,0.782608695652174,23
Sandoz,0.6956521739130435,23
Ain Shams University,0.17391304347826086,23
University of Medicine and Dentistry of New Jersey,0.045454545454545456,22
Boston Children's Hospital,0.22727272727272727,22
AHS Cancer Control Alberta,0.09090909090909091,22
Kirby Institute,0.4090909090909091,22
German Breast Group,0.13636363636363635,22
Queen's University,0.18181818181818182,22
Nantes University Hospital,0.2727272727272727,22
Ono Pharmaceutical Co. Ltd,0.36363636363636365,22
University of Oklahoma,0.18181818181818182,22
Neurocrine Biosciences,0.22727272727272727,22
PATH,0.5909090909090909,22
"Reata Pharmaceuticals, Inc.",0.18181818181818182,22
JW Pharmaceutical,0.5909090909090909,22
"Dong-A ST Co., Ltd.",0.36363636363636365,22
PharmaMar,0.42857142857142855,21
Children's Hospital of Philadelphia,0.23809523809523808,21
GERCOR - Multidisciplinary Oncology Cooperative Group,0.5238095238095238,21
"Orion Corporation, Orion Pharma",0.3333333333333333,21
Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),0.23809523809523808,21
McMaster University,0.3333333333333333,21
The Hospital for Sick Children,0.19047619047619047,21
Exelixis,0.3333333333333333,21
BioMarin Pharmaceutical,0.3333333333333333,21
McGill University Health Centre/Research Institute of the McGill University Health Centre,0.14285714285714285,21
Taro Pharmaceuticals USA,0.09523809523809523,21
AEterna Zentaris,0.19047619047619047,21
"University Hospital Inselspital, Berne",0.14285714285714285,21
Gruppo Italiano Malattie EMatologiche dell'Adulto,0.6190476190476191,21
"SK Chemicals Co., Ltd.",0.42857142857142855,21
Canadian Cancer Trials Group,0.38095238095238093,21
Aerie Pharmaceuticals,0.6190476190476191,21
Chinese Academy of Medical Sciences,0.5238095238095238,21
Azidus Brasil,0.047619047619047616,21
Bial - Portela C S.A.,0.47619047619047616,21
UCB Biopharma S.P.R.L.,0.5714285714285714,21
Institut de Recherches Internationales Servier,0.3,20
Mario Negri Institute for Pharmacological Research,0.2,20
University of Manitoba,0.15,20
"University Hospital, Toulouse",0.35,20
Brown University,0.2,20
Merrimack Pharmaceuticals,0.45,20
Peking University,0.4,20
Aeras,0.55,20
Mylan Inc.,0.6,20
R-Pharm,0.47368421052631576,19
Cancer Research UK,0.2631578947368421,19
University of Calgary,0.21052631578947367,19
Hannover Medical School,0.21052631578947367,19
Spanish Breast Cancer Research Group,0.3684210526315789,19
Ludwig Institute for Cancer Research,0.21052631578947367,19
UCB Pharma SA,0.5263157894736842,19
"Taiho Pharmaceutical Co., Ltd.",0.7368421052631579,19
Bavarian Nordic,0.6842105263157895,19
Indiana University School of Medicine,0.15789473684210525,19
Inovio Pharmaceuticals,0.42105263157894735,19
"Korea Otsuka Pharmaceutical Co., Ltd.",0.3684210526315789,19
"National University Hospital, Singapore",0.3157894736842105,19
Maastricht University Medical Center,0.21052631578947367,19
Xian-Janssen Pharmaceutical Ltd.,0.47368421052631576,19
Centre for Addiction and Mental Health,0.05263157894736842,19
"HaEmek Medical Center, Israel",0.0,19
"AVEO Pharmaceuticals, Inc.",0.3684210526315789,19
The Netherlands Cancer Institute,0.47368421052631576,19
"OPKO Health, Inc.",0.2631578947368421,19
Meir Medical Center,0.10526315789473684,19
"Clovis Oncology, Inc.",0.10526315789473684,19
Pharmacosmos A/S,0.47368421052631576,19
Daewoong Pharmaceutical Co. LTD.,0.3157894736842105,19
Janssen R&D Ireland,0.5789473684210527,19
Sun Pharmaceutical Industries Limited,0.3157894736842105,19
"ImmunityBio, Inc.",0.15789473684210525,19
Elpen Pharmaceutical Co. Inc.,0.10526315789473684,19
Western Regional Medical Center,0.0,19
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",0.5263157894736842,19
University of Illinois at Chicago,0.2222222222222222,18
Rockefeller University,0.2777777777777778,18
INSYS Therapeutics Inc,0.2222222222222222,18
The Methodist Hospital Research Institute,0.2777777777777778,18
Technische Universität München,0.2222222222222222,18
Spanish Cooperative Group for the Treatment of Digestive Tumours (TTD),0.4444444444444444,18
Nycomed,0.2777777777777778,18
"Boryung Pharmaceutical Co., Ltd",0.6666666666666666,18
"National Cancer Institute, Naples",0.16666666666666666,18
Cytokinetics,0.4444444444444444,18
Ohio State University,0.16666666666666666,18
Celldex Therapeutics,0.2222222222222222,18
"Amsterdam UMC, location VUmc",0.05555555555555555,18
Repros Therapeutics Inc.,0.3888888888888889,18
"Betta Pharmaceuticals Co., Ltd.",0.5555555555555556,18
"Jiangsu Simcere Pharmaceutical Co., Ltd.",0.16666666666666666,18
The Lymphoma Academic Research Organisation,0.2777777777777778,18
University of Sao Paulo General Hospital,0.2222222222222222,18
Dr. Reddy's Laboratories Limited,0.2777777777777778,18
National Institute of Neurological Disorders and Stroke (NINDS),0.058823529411764705,17
National Institutes of Health Clinical Center (CC),0.058823529411764705,17
Queen Mary University of London,0.23529411764705882,17
"SK Life Science, Inc.",0.23529411764705882,17
Heidelberg University,0.47058823529411764,17
Tufts Medical Center,0.35294117647058826,17
"University Hospital, Ghent",0.29411764705882354,17
Acrotech Biopharma LLC,0.5294117647058824,17
German CLL Study Group,0.4117647058823529,17
Rennes University Hospital,0.058823529411764705,17
Rambam Health Care Campus,0.11764705882352941,17
Royal Marsden NHS Foundation Trust,0.5882352941176471,17
PTC Therapeutics,0.35294117647058826,17
Universitätsklinikum Hamburg-Eppendorf,0.23529411764705882,17
Alaunos Therapeutics,0.17647058823529413,17
Mannkind Corporation,0.47058823529411764,17
"Hospital for Special Surgery, New York",0.17647058823529413,17
"University of Massachusetts, Worcester",0.11764705882352941,17
Bukwang Pharmaceutical,0.17647058823529413,17
Centre Leon Berard,0.29411764705882354,17
Johannes Gutenberg University Mainz,0.29411764705882354,17
Assistance Publique Hopitaux De Marseille,0.17647058823529413,17
Debiopharm International SA,0.5294117647058824,17
University of Dundee,0.4117647058823529,17
St Stephens Aids Trust,0.5882352941176471,17
Valneva Austria GmbH,0.7647058823529411,17
Loyola University,0.11764705882352941,17
Xijing Hospital,0.23529411764705882,17
Peking Union Medical College Hospital,0.5294117647058824,17
"Esperion Therapeutics, Inc.",1.0,17
EMS,0.11764705882352941,17
Lee's Pharmaceutical Limited,0.47058823529411764,17
IlDong Pharmaceutical Co Ltd,0.17647058823529413,17
BioCryst Pharmaceuticals,0.4375,16
Ludwig-Maximilians - University of Munich,0.5,16
"Sumitomo Pharma Co., Ltd.",0.1875,16
GTx,0.3125,16
Providence Health & Services,0.1875,16
Mclean Hospital,0.0625,16
Lymphoma Study Association,0.5625,16
University of Ulm,0.1875,16
ARCAGY/ GINECO GROUP,0.3125,16
Grifols Therapeutics LLC,0.5625,16
University of Kansas Medical Center,0.25,16
Dompé Farmaceutici S.p.A,0.25,16
New Mexico Cancer Care Alliance,0.0625,16
"XenoPort, Inc.",0.5625,16
Federal University of São Paulo,0.25,16
University of Erlangen-Nürnberg Medical School,0.5,16
Groupe Francophone des Myelodysplasies,0.4375,16
Theravance Biopharma,0.5,16
Mundipharma Research Limited,0.5,16
UCB BIOSCIENCES GmbH,0.625,16
"Melinta Therapeutics, Inc.",0.8125,16
Ablynx,0.625,16
"University Hospital, Lille",0.3125,16
Celltrion,0.9375,16
Chinese PLA General Hospital,0.3125,16
"Janssen Scientific Affairs, LLC",0.3125,16
Q-Med AB,0.25,16
Astellas Pharma Europe Ltd.,0.5,16
Materia Medica Holding,0.1875,16
Chang Gung Memorial Hospital,0.1875,16
"Astex Pharmaceuticals, Inc.",0.26666666666666666,15
Avanir Pharmaceuticals,0.4666666666666667,15
"American Regent, Inc.",0.2,15
Threshold Pharmaceuticals,0.26666666666666666,15
University Hospital Muenster,0.0,15
Peregrine Pharmaceuticals,0.6,15
State University of New York - Upstate Medical University,0.06666666666666667,15
UMC Utrecht,0.06666666666666667,15
University of Cologne,0.4,15
Laval University,0.4666666666666667,15
Intergroupe Francophone de Cancerologie Thoracique,0.4,15
University Hospital Tuebingen,0.2,15
"University Hospital, Grenoble",0.13333333333333333,15
Vanda Pharmaceuticals,0.8,15
Henry Ford Health System,0.26666666666666666,15
BioDelivery Sciences International,0.4,15
Endocyte,0.3333333333333333,15
Morphotek,0.26666666666666666,15
Cliniques universitaires Saint-Luc- Université Catholique de Louvain,0.13333333333333333,15
Octapharma,0.3333333333333333,15
Dexa Medica Group,0.0,15
Philogen S.p.A.,0.4,15
Hospital de Clinicas de Porto Alegre,0.2,15
Oslo University Hospital,0.26666666666666666,15
FibroGen,0.9333333333333333,15
"Sierra Oncology, Inc.",0.26666666666666666,15
"Fondazione IRCCS Istituto Nazionale dei Tumori, Milano",0.3333333333333333,15
InQpharm Group,0.5333333333333333,15
Medy-Tox,0.26666666666666666,15
"Daewon Pharmaceutical Co., Ltd.",0.13333333333333333,15
Karyopharm Therapeutics Inc,0.3333333333333333,15
Acerta Pharma BV,0.3333333333333333,15
AIDS Malignancy Consortium,0.42857142857142855,14
Corcept Therapeutics,0.14285714285714285,14
Centers for Disease Control and Prevention,0.21428571428571427,14
Trans Tasman Radiation Oncology Group,0.2857142857142857,14
Pharmaxis,0.5,14
Technische Universität Dresden,0.35714285714285715,14
"Kyowa Kirin, Inc.",0.35714285714285715,14
Endo Pharmaceuticals,0.42857142857142855,14
University of Iowa,0.0,14
Dr. Falk Pharma GmbH,0.5714285714285714,14
"International Partnership for Microbicides, Inc.",0.35714285714285715,14
Boston University,0.2857142857142857,14
British Columbia Cancer Agency,0.35714285714285715,14
Dynavax Technologies Corporation,0.42857142857142855,14
SymBio Pharmaceuticals,0.42857142857142855,14
University of Leeds,0.2857142857142857,14
"Ironwood Pharmaceuticals, Inc.",0.6428571428571429,14
Erasmus Medical Center,0.42857142857142855,14
Genta Incorporated,0.21428571428571427,14
PETHEMA Foundation,0.42857142857142855,14
"EMD Serono Research & Development Institute, Inc.",0.14285714285714285,14
Anthera Pharmaceuticals,0.21428571428571427,14
King's College London,0.2857142857142857,14
Tracon Pharmaceuticals Inc.,0.35714285714285715,14
"Ardea Biosciences, Inc.",0.6428571428571429,14
Nanfang Hospital of Southern Medical University,0.14285714285714285,14
"Onconova Therapeutics, Inc.",0.42857142857142855,14
"Naurex, Inc, an affiliate of Allergan plc",0.21428571428571427,14
Tehran University of Medical Sciences,0.35714285714285715,14
HK inno.N Corporation,0.07142857142857142,14
Alios Biopharma Inc.,0.21428571428571427,14
Janssen Pharmaceutica,0.14285714285714285,14
Adocia,0.8571428571428571,14
Sage Therapeutics,0.7857142857142857,14
Janssen Vaccines & Prevention B.V.,0.35714285714285715,14
Medical Research Council,0.3076923076923077,13
"Institute of Cancer Research, United Kingdom",0.5384615384615384,13
"CASI Pharmaceuticals, Inc.",0.3076923076923077,13
Agennix,0.15384615384615385,13
Helsinn Healthcare SA,0.6153846153846154,13
"Infinity Pharmaceuticals, Inc.",0.15384615384615385,13
"Tibotec Pharmaceuticals, Ireland",0.6153846153846154,13
Norwegian University of Science and Technology,0.07692307692307693,13
Albert Einstein College of Medicine,0.3076923076923077,13
Hamilton Health Sciences Corporation,0.23076923076923078,13
"University Hospital, Strasbourg, France",0.07692307692307693,13
US Oncology Research,0.3076923076923077,13
Boston Scientific Corporation,0.23076923076923078,13
Onxeo,0.3076923076923077,13
"Clinica Universidad de Navarra, Universidad de Navarra",0.07692307692307693,13
Mirati Therapeutics Inc.,0.23076923076923078,13
Unity Health Toronto,0.3076923076923077,13
Karolinska Institutet,0.23076923076923078,13
Arbeitsgemeinschaft medikamentoese Tumortherapie,0.46153846153846156,13
"Hospital Authority, Hong Kong",0.0,13
UConn Health,0.07692307692307693,13
Stallergenes Greer,0.6923076923076923,13
"Sucampo Pharma Americas, LLC",0.46153846153846156,13
"National Cancer Center, Korea",0.07692307692307693,13
Ology Bioservices,0.46153846153846156,13
The HIV Netherlands Australia Thailand Research Collaboration,0.3076923076923077,13
"UCB BIOSCIENCES, Inc.",0.46153846153846156,13
University of Missouri-Columbia,0.0,13
Innocoll,0.3076923076923077,13
Newron Pharmaceuticals SPA,0.46153846153846156,13
Peking University People's Hospital,0.38461538461538464,13
"Amphastar Pharmaceuticals, Inc.",0.0,13
Meda Pharmaceuticals,0.6923076923076923,13
Affiris AG,0.38461538461538464,13
"Almirall, S.A.",0.6923076923076923,13
"Revance Therapeutics, Inc.",0.6153846153846154,13
Bitop AG,0.3076923076923077,13
"Santen Pharmaceutical Co., Ltd.",0.5384615384615384,13
"Tesaro, Inc.",0.5384615384615384,13
Seoul National University Bundang Hospital,0.15384615384615385,13
Zhejiang University,0.07692307692307693,13
Ageless Regenerative Institute,0.0,13
"Hanlim Pharm. Co., Ltd.",0.15384615384615385,13
Sanaria Inc.,0.23076923076923078,13
Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),0.16666666666666666,12
CTI BioPharma,0.25,12
Human Genome Sciences Inc.,0.4166666666666667,12
Sarcoma Alliance for Research through Collaboration,0.08333333333333333,12
"The University of Texas Medical Branch, Galveston",0.0,12
Achieve Life Sciences,0.4166666666666667,12
Intarcia Therapeutics,0.3333333333333333,12
MacroGenics,0.08333333333333333,12
Neovii Biotech,0.4166666666666667,12
Affymax,0.75,12
Herlev Hospital,0.16666666666666666,12
Soroka University Medical Center,0.08333333333333333,12
Synta Pharmaceuticals Corp.,0.4166666666666667,12
CONRAD,0.3333333333333333,12
Eisai Korea Inc.,0.25,12
"Ethicon, Inc.",0.4166666666666667,12
Leiden University Medical Center,0.25,12
UCB Japan Co. Ltd.,0.3333333333333333,12
Odense University Hospital,0.3333333333333333,12
Maastricht Radiation Oncology,0.08333333333333333,12
Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,0.08333333333333333,12
Institut Bergonié,0.3333333333333333,12
International Extranodal Lymphoma Study Group (IELSG),0.5,12
"Janssen Pharmaceutica N.V., Belgium",0.75,12
University of Vermont,0.25,12
Allergopharma GmbH & Co. KG,0.4166666666666667,12
Accelerated Community Oncology Research Network,0.5,12
Vejle Hospital,0.08333333333333333,12
Zeria Pharmaceutical,0.25,12
AGC Biologics S.p.A.,0.5833333333333334,12
Shaare Zedek Medical Center,0.08333333333333333,12
Swedish Medical Center,0.25,12
Halozyme Therapeutics,0.5,12
"University Hospital, Clermont-Ferrand",0.16666666666666666,12
National Cheng-Kung University Hospital,0.08333333333333333,12
Heron Therapeutics,0.8333333333333334,12
"Kadmon Corporation, LLC",0.25,12
Jaeb Center for Health Research,0.5833333333333334,12
"Centre Hospitalier Universitaire, Amiens",0.16666666666666666,12
"University Hospital, Geneva",0.16666666666666666,12
Menarini Group,0.3333333333333333,12
Centre Oscar Lambret,0.5,12
"Orexigen Therapeutics, Inc",0.75,12
Chimerix,0.3333333333333333,12
"Array Biopharma, now a wholly owned subsidiary of Pfizer",0.3333333333333333,12
ACADIA Pharmaceuticals Inc.,0.4166666666666667,12
Alnylam Pharmaceuticals,0.5833333333333334,12
"Sinovac Biotech Co., Ltd",0.75,12
King Faisal Specialist Hospital & Research Center,0.5,12
Targacept Inc.,0.25,12
Wayne State University,0.08333333333333333,12
"Supernus Pharmaceuticals, Inc.",0.6666666666666666,12
Centre hospitalier de l'Université de Montréal (CHUM),0.08333333333333333,12
Bioprojet,0.16666666666666666,12
Santen Inc.,0.08333333333333333,12
"Verastem, Inc.",0.3333333333333333,12
