NO,name,smi,Dataset,logPapp
A-231,hexapeptide 23,O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H]1C,Tr,-5.8200002
A-232,hexapeptide 24,O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H]1C,Tr,-5.8200002
A-233,hexapeptide 25,O=C1N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,Tr,-5.8200002
A-234,hexapeptide 26,O=C1N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,Tr,-5.3000002
A-235,hexapeptide 27,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,Tr,-5.3000002
A-236,hexapeptide 28,O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,Tr,-5
A-237,hexapeptide 29,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,Tr,-5.8200002
A-239,hexapeptide 32,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,Tr,-5.8200002
A-240,hexapeptide 33,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,Tr,-5.8200002
A-241,hexapeptide 34,O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,Tr,-5.8200002
A-242,hexapeptide 37,O=C1N(C)[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,Tr,-5.8200002
A-243,hexapeptide 38,O=C1N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,Tr,-5.8200002
A-244,hexapeptide 41,O=C1N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H]1C,Tr,-5.2600002
A-245,hexapeptide 42,O=C1N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H]1C,Tr,-5.8200002
A-250,hexapeptide 47,O=C1N(C)[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,Tr,-5.3000002
A-251,hexapeptide 48,O=C1N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H]1C,Tr,-5.3000002
A-254,hexapeptide 52,O=C1N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,Tr,-4.6999998
A-255,hexapeptide 53,O=C1N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H]1C,Tr,-5.3000002
A-256,hexapeptide 54,O=C1N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H]1C,Tr,-5
A-257,hexapeptide 55,O=C1N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H]1C,Tr,-5.3000002
A-258,hexapeptide 56,O=C1N(C)[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H]1C,Tr,-5.0999999
A-259,hexapeptide 57,O=C1N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H]1C,Tr,-5.1500001
A-26,alfentanil,O=C1N(N=NN1CC)CCN1CCC(N(C(=O)CC)c2ccccc2)(CC1)COC,Tr,-4.2600002
A-260,hexapeptide 58,O=C1N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H]1C,Tr,-5.3000002
A-261,hexapeptide 59,O=C1N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H]1C,Tr,-5.3000002
A-262,hexapeptide 60,O=C1N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@H]1C,Tr,-5.3000002
A-263,hispidulin,O1c2c(c(O)c(OC)c(O)c2)C(=O)C=C1c1ccc(O)cc1,Tr,-5.1799998
A-264,hydralazine,n1ncc2c(cccc2)c1NN,Tr,-5.1700001
A-266,hydrocortisone,O=C1CC[C@@]2([C@H]3[C@H]([C@H]4CC[C@@](O)(C(=O)CO)[C@]4(C[C@H]3O)C)CCC2=C1)C,Tr,-4.6599998
A-267,IACV,O(CCOCn1c2N=C(NC(c2nc1)=C)N)C(=O)[C@H](N)[C@@H](CC)C,Tr,-5.6799998
A-269,ibuproxam,O=C(NO)C(C)c1ccc(cc1)CC(C)C,Tr,-4.6300001
A-27,alminoprofen,OC(=O)C(C)c1ccc(NCC(C)=C)cc1,Tr,-4.3400002
A-270,imipramine,N(CCCN1c2c(CCc3c1cccc3)cccc2)(C)C,Tr,-4.8509998
A-272,indomethacin,Clc1ccc(cc1)C(=O)n1c2c(cc(OC)cc2)c(CC(O)=O)c1C,Tr,-4.6900001
A-276,isoquercitrin ,O1C(CO)C(O)C(O)C(OC2=C(Oc3c(C2=O)c(O)cc(O)c3)c2cc(O)c(O)cc2)C1O,Tr,-6.1700001
A-28,alprazolam,Clc1cc2c(-n3c(nnc3C)CN=C2c2ccccc2)cc1,Tr,-3.9200001
A-283,ketoconazole,Clc1cc(Cl)ccc1[C@@]1(O[C@H](CO1)COc1ccc(N2CCN(CC2)C(=O)C)cc1)Cn1ccnc1,Tr,-4.9299998
A-284,ketoprofen,OC(=O)C(C)c1cc(ccc1)C(=O)c1ccccc1,Tr,-4.3509998
A-289,lamotrigine,Clc1c(cccc1Cl)-c1nnc(nc1N)N,Tr,-4.3899999
A-290,lansoprazole,S(=O)(Cc1nccc(OCC(F)(F)F)c1C)c1[nH]c2c(n1)cccc2,Tr,-4.1100001
A-291,L-dopa,Oc1cc(ccc1O)C[C@H](N)C(O)=O,Tr,-6.0500002
A-293,lidocaine,O=C(Nc1c(cccc1C)C)CN(CC)CC,Tr,-4.2849998
A-296,Liquiritin,O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1Oc1ccc(cc1)[C@H]1Oc2c(ccc(O)c2)C(=O)C1,Tr,-6.5900002
A-297,Liquiritin apioside ,O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1OC[C@](O)(CO)[C@H]1O)c2,Tr,-7.1199999
A-298,lisinopril,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)CCCCN,Tr,-7.3899999
A-299,loracarbef,ClC=1CC[C@H]2N(C=1C(O)=O)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1.O,Tr,-7.3400002
A-3,"(2E)-N-isobutylundeca-2-ene-8,10-diynamide",O=C(NCC(C)C)\C=C\CCCCC#CC#C,Tr,-3.75
A-302,l-phenylalanine,OC(=O)[C@@H](N)Cc1ccccc1,Tr,-5
A-304,luteolin ,O1c2c(C(=O)C=C1c1cc(O)c(O)cc1)c(O)cc(O)c2,Tr,-5.0500002
A-306,LY122772,S(=O)(=O)(n1c2cc(ccc2nc1N)\C(=N\O)\c1ccccc1)C(C)C,Tr,-3.8699999
A-307,LY153186,S(=O)(=O)(n1c2cc(ccc2nc1N)\C(=C\C(=O)N)\c1ccccc1)C(C)C,Tr,-4.3600001
A-309,LY341908,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1cc(F)ccc1)C(C)C,Tr,-4.1399999
A-31,amfenac sodium,[Na+].O.O=C(c1cccc(CC(=O)[O-])c1N)c1ccccc1,Tr,-4.52
A-310,LY353462,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1cc(F)ccc1)NC(=O)N(C)C,Tr,-4.1700001
A-312,LY354400,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1cc(F)ccc1F)C(C)C,Tr,-4.46
A-313,LY355081,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)NC)/c1cc(F)ccc1F)C(C)C,Tr,-4.2600002
A-314,LY357132,S(=O)(=O)(n1c2cc(ccc2nc1N)\C(=C\C(=O)NC)\c1ccccc1)C(C)C,Tr,-4.1999998
A-315,LY357822,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)NC)/c1cccc(F)c1F)C(C)C,Tr,-4.21
A-316,LY362546,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)NC)/c1cc(F)ccc1)CCC,Tr,-4.1900001
A-317,LY362683,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1cccc(F)c1F)C(C)C,Tr,-4.4299998
A-32,amiloride,Clc1nc(C(=O)N=C(N)N)c(nc1N)N,Tr,-5.8899999
A-320,LY366347,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)NC)/c1ccc(F)c(F)c1F)C(C)C,Tr,-4.1399999
A-321,LY366349,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1cc(F)c(OC)cc1)C(C)C,Tr,-4.48
A-322,LY366572,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1cc(F)cc(F)c1)C(C)C,Tr,-4.2399998
A-323,LY366659,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1c(F)c(F)cc(F)c1F)C(C)C,Tr,-4.1999998
A-324,LY366799,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1ccccc1F)C(C)C,Tr,-4.54
A-325,LY366853,Fc1c(cccc1F)\C(=C/C(=O)N)\c1cc2n(C(C)C)c(nc2cc1)N.C,Tr,-5.3000002
A-326,LY366856,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1ccc(F)c(F)c1F)C(C)C,Tr,-4.3299999
A-328,LY368227,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1cc(F)c(F)cc1)C(C)C,Tr,-4.3600001
A-329,LY368228,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)N)/c1ccc(F)cc1F)C(C)C,Tr,-4.3699999
A-330,LY368766,S(=O)(=O)(n1c2cc(ccc2nc1N)/C(=C/C(=O)NCC)/c1cccc(F)c1F)C(C)C,Tr,-4.0700002
A-332,meloxicam,s1c(cnc1NC(=O)C=1N(S(=O)(=O)c2c(cccc2)C=1O)C)C,Tr,-4.71
A-336,metformin,N(C(N=C(N)N)=N)(C)C,Tr,-6.1999998
A-338,methotrexate,OC(=O)CC[C@H](NC(=O)c1ccc(N(Cc2nc3c(nc(nc3N)N)nc2)C)cc1)C(O)=O,Tr,-6.0999999
A-342,methylscopolamine,[Br-].O1C2[C@H]3[N+]([C@@H](CC(OC(=O)[C@H](CO)c4ccccc4)C3)C12)(C)C,Tr,-6.1599998
A-343,metolazone,Clc1cc2NC(N(c3ccccc3C)C(=O)c2cc1S(=O)(=O)N)C,Tr,-5.21
A-345,mibefradil,Fc1cc2c(cc1)[C@H](C(C)C)[C@](OC(=O)COC)(CC2)CCN(CCCc1[nH]c2c(n1)cccc2)C,Tr,-4.9549999
A-348,morin ,O1c2c(C(=O)C(O)=C1c1ccc(O)cc1O)c(O)cc(O)c2,Tr,-6.21
A-349,morphine,O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(O)cc3)C=C[C@@H]2O,Tr,-5.4499998
A-35,amoxicillin,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccc(O)cc1,Tr,-6.1524997
A-350,myricetin ,O1c2c(C(=O)C(O)=C1c1cc(O)c(O)c(O)c1)c(O)cc(O)c2,Tr,-5.77
A-354,nadalol,O(CC(O)CNC(C)(C)C)c1c2CC(O)C(O)Cc2ccc1,Tr,-5.4109998
A-356,naproxen,O(C)c1cc2c(cc(cc2)[C@@H](C(O)=O)C)cc1,Tr,-4.6599998
A-357,naproxen sodium,[Na+].O(C)c1cc2c(cc(cc2)C(C(=O)[O-])C)cc1,Tr,-4.3299999
A-358,naringenin,O1c2c(C(=O)C[C@H]1c1ccc(O)cc1)c(O)cc(O)c2,Tr,-4.6550002
A-361,N-carbobenzoxy-tryptophan,O(Cc1ccccc1)C(=O)NC(Cc1c2c([nH]c1)cccc2)C(O)=O,Tr,-5.8000002
A-362,N-desmethylclozapine,Clc1cc2N=C(N3CCNCC3)c3c(Nc2cc1)cccc3,Tr,-4.6799998
