, Name , t1/2(hour) ,SMILES
58, PYRIMETHAMINE , 100 ,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
59, PROCAINE , 0.128 ,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1
60, PHENOXYBENZAMINE , 24 ,CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1
61, NITROFURANTOIN , 0.97 ,[O-][N+](=O)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O
62, PHENOXYBENZAMINE , 24 ,CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1
63, LEVORPHANOL , 13.5 ,[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2
64, PROPANTHELINE , 1.6 ,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12)C(C)C
65, PHENYTOIN , 22 ,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
66, CARBINOXAMINE , 17 ,CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1
67, PHENSUXIMIDE , 7.8 ,CN1C(=O)CC(C1=O)C1=CC=CC=C1
68, ACETAZOLAMIDE , 3.5 ,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
69, METHOXSALEN , 2 ,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2
70, MERCAPTOPURINE , 1 ,S=C1N=CNC2=C1NC=N2
71, RESERPINE , 200 ,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
72, CHLORPROMAZINE , 11.05 ,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2
73, TESTOSTERONE , 192 ,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
74, WARFARIN , 29 ,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2
75, PROGESTERONE , 34.8 ,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
76, DESLANOSIDE , 51 ,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@@H](O)[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1
77, DIGOXIN , 42 ,[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1
78, BUSULFAN , 3.4 ,CS(=O)(=O)OCCCCOS(C)(=O)=O
79, HYDROXYCHLOROQUINE , 172.3 ,CCN(CCO)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1
80, METHYPRYLON , 9.2 ,CCC1(CC)C(=O)NCC(C)C1=O
81, MEPROBAMATE , 9.6 ,CCCC(C)(COC(N)=O)COC(N)=O
82, PREDNISONE , 2.6 ,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
83, HYDROXYCHLOROQUINE , 172.3 ,CCN(CCO)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1
84, PROCYCLIDINE , 12 ,OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1
85, PYRIDOSTIGMINE , 3 ,CN(C)C(=O)OC1=C[N+](C)=CC=C1
86, PREDNISOLONE , 2.5 ,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
87, RIBOFLAVIN , 0.93 ,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
88, METHYLPHENIDATE , 3.2 ,COC(=O)C(C1CCCCN1)C1=CC=CC=C1
89, HYDROXYPROGESTERONE CAPROATE , 187.2 ,[H][C@@]12CC[C@](OC(=O)CCCCC)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
90, PROMAZINE , 7.9 ,CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12
91, LIOTHYRONINE , 60 ,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
92, HYDROXYZINE , 16.5 ,OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
93, METHSUXIMIDE , 1.4 ,CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1
94, PROCHLORPERAZINE , 9 ,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
95, ORPHENADRINE , 16.6 ,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1C
96, METHSUXIMIDE , 1.4 ,CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1
97, FLUOXYMESTERONE , 9.2 ,[H][C@@]12CC[C@](C)(O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C
98, ORPHENADRINE , 16.6 ,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1C
99, MECLIZINE , 5.5 ,CC1=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=CC=C1
100, CHLORAMBUCIL , 1.3 ,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl
101, TOLBUTAMIDE , 7 ,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1
102, MECLIZINE , 5.5 ,CC1=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=CC=C1
103, PERPHENAZINE , 10.5 ,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
104, DEXBROMPHENIRAMINE , 25 ,CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1
105, ETHOTOIN , 6 ,CCN1C(=O)NC(C1=O)C1=CC=CC=C1
106, METHOCARBAMOL , 2 ,COC1=C(OCC(O)COC(N)=O)C=CC=C1
107, NIACIN , 0.56 ,OC(=O)C1=CN=CC=C1
108, TRIPROLIDINE , 2.1 ,CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1
109, CHLOROTHIAZIDE , 2 ,NS(=O)(=O)C1=C(Cl)C=C2NC=NS(=O)(=O)C2=C1
110, METHYLPREDNISOLONE , 2.3 ,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C
111, TRIAMCINOLONE , 2.7 ,[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
112, PHENPROCOUMON , 140 ,CCC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2
113, DEXTROMETHORPHAN , 13 ,[H][C@]12CCCC[C@]11CCN(C)[C@H]2CC2=C1C=C(OC)C=C2
114, CHLORMEZANONE , 40.5 ,CN1C(C2=CC=C(Cl)C=C2)S(=O)(=O)CCC1=O
115, CHLORMEZANONE , 40.5 ,CN1C(C2=CC=C(Cl)C=C2)S(=O)(=O)CCC1=O
116, SULFINPYRAZONE , 6.2 ,O=C1C(CCS(=O)C2=CC=CC=C2)C(=O)N(N1C1=CC=CC=C1)C1=CC=CC=C1
117, METHOHEXITAL , 1.6 ,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O
118, PHENTERMINE , 20 ,CC(C)(N)CC1=CC=CC=C1
119, CHLORPROPAMIDE , 36 ,CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1
120, DEXAMETHASONE , 3.7 ,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
121, THIOPENTAL , 5.5 ,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
122, THIOTEPA , 2.4 ,S=P(N1CC1)(N1CC1)N1CC1
123, PHENYLPROPANOLAMINE , 4.05 ,[H][C@@](C)(N)[C@]([H])(O)C1=CC=CC=C1
124, OXYMORPHONE , 4.5 ,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O
125, METHAZOLAMIDE , 14 ,CN1N=C(SC1=NC(C)=O)S(N)(=O)=O
126, FLUPHENAZINE , 16.4 ,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
127, CARISOPRODOL , 2 ,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
128, CARISOPRODOL , 2 ,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
129, HYDROCHLOROTHIAZIDE , 4.5 ,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1
130, THIORIDAZINE , 15 ,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1
131, IMIPRAMINE , 16 ,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12
132, MEDROXYPROGESTERONE ACETATE , 12.1 ,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
133, NANDROLONE , 228 ,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
134, PHENELZINE , 11.6 ,NNCCC1=CC=CC=C1
135, HYDROFLUMETHIAZIDE , 5.2 ,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1C(F)(F)F
136, BIPERIDEN , 24 ,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1
137, ISOSORBIDE DINITRATE , 1 ,[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O
138, ISOSORBIDE MONONITRATE , 5 ,[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O
139, MEPIVACAINE , 2 ,CN1CCCCC1C(=O)NC1=C(C)C=CC=C1C
140, CYCLOPHOSPHAMIDE , 7.5 ,ClCCN(CCCl)P1(=O)NCCCO1
141, FLUOROURACIL , 0.12 ,FC1=CNC(=O)NC1=O
142, PHENDIMETRAZINE , 3.7 ,C[C@H]1[C@@H](OCCN1C)C1=CC=CC=C1
143, CHLORDIAZEPOXIDE , 8.3 ,CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=[N+]([O-])C1
144, CHLORTHALIDONE , 36 ,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12
145, TRANYLCYPROMINE , 1.58 ,NC1CC1C1=CC=CC=C1
146, ETHOSUXIMIDE , 60 ,CCC1(C)CC(=O)NC1=O
147, COLCHICINE , 28.9 ,COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1C(CC2)NC(C)=O
148, PSEUDOEPHEDRINE , 5 ,CN[C@@H](C)[C@@H](O)C1=CC=CC=C1
149, ATROPINE , 3 ,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1
150, ATROPINE , 3 ,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1
151, CHLORPROTHIXENE , 25.8 ,CN(C)CC\C=C1\C2=CC=CC=C2SC2=CC=C(Cl)C=C12
152, METRONIDAZOLE , 8 ,CC1=NC=C(N1CCO)[N+]([O-])=O
153, CYPROHEPTADINE , 12.5 ,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
154, BETAMETHASONE , 5.6 ,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
155, VINBLASTINE , 67 ,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@@](CC)([C@@H](OC(C)=O)[C@]2(O)C(=O)OC)[C@@]13[H])[C@]1(C[C@@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=C2C=CC=C1)C(=O)OC
156, AMITRIPTYLINE , 17 ,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
157, SULFAMETHOXAZOLE , 10 ,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1
158, DIPYRIDAMOLE , 13.6 ,OCCN(CCO)C1=NC2=C(N=C(N=C2N2CCCCC2)N(CCO)CCO)C(=N1)N1CCCCC1
159, METYRAPONE , 1.9 ,CC(C)(C(=O)C1=CN=CC=C1)C1=CC=CN=C1
160, ETHIONAMIDE , 1.92 ,CCC1=NC=CC(=C1)C(N)=S
161, TRIAMTERENE , 4.3 ,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1
162, METAXALONE , 9 ,CC1=CC(OCC2CNC(=O)O2)=CC(C)=C1
163, DIAZEPAM , 46 ,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
164, METHYLDOPA , 1.8 ,C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O
165, ACETYLCYSTEINE , 5.6 ,CC(=O)N[C@@H](CS)C(O)=O
166, DESIPRAMINE , 22 ,CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12
167, OXANDROLONE , 13.3 ,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)OC[C@]12C
168, VINCRISTINE , 87 ,[H][C@@]12N3CC[C@@]11C4=C(C=C(OC)C(=C4)[C@]4(C[C@H]5C[N@](C[C@](O)(CC)C5)CCC5=C4NC4=CC=CC=C54)C(=O)OC)N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC
169, PRALIDOXIME , 3 ,C[N+]1=C(\C=N\O)C=CC=C1
170, NALIDIXIC ACID , 6 ,CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2
171, NORTRIPTYLINE , 30 ,CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
172, MELPHALAN , 1.5 ,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
173, PRILOCAINE , 1.6 ,CCCNC(C)C(=O)NC1=CC=CC=C1C
174, DOXAPRAM , 4.1 ,CCN1CC(CCN2CCOCC2)C(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1
175, MEFENAMIC ACID , 3 ,CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1
176, AMINOCAPROIC ACID , 2 ,NCCCCCC(O)=O
177, TOLAZAMIDE , 7 ,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1
178, OXAZEPAM , 8.2 ,OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
179, HALOPERIDOL , 35 ,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
180, AMANTADINE , 17 ,NC12CC3CC(CC(C3)C1)C2
181, DROPERIDOL , 2.1 ,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12
182, FENTANYL , 7 ,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1
183, INDOMETHACIN , 4.5 ,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
184, ALLOPURINOL , 1.5 ,OC1=NC=NC2=C1C=NN2
185, PENTAZOCINE , 3.6 ,C[C@H]1[C@H]2CC3=CC=C(O)C=C3[C@]1(C)CCN2CC=C(C)C
186, DEFEROXAMINE , 6 ,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
187, FUROSEMIDE , 2 ,NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O
188, HYDROXYUREA , 3.4 ,NC(=O)NO
189, ETHAMBUTOL , 3.1 ,CC[C@@H](CO)NCCN[C@@H](CC)CO
190, ACETAMINOPHEN , 2.1 ,CC(=O)NC1=CC=C(O)C=C1
191, PROPRANOLOL , 4.5 ,CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2
192, CARBAMAZEPINE , 37.5 ,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12
193, NALOXONE , 6.25 ,OC1=CC=C2C[C@H]3N(CC=C)CC[C@@]45[C@@H](OC1=C24)C(=O)CC[C@@]35O
194, NORGESTREL , 36.4 ,CCC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C
195, FLURAZEPAM , 2.3 ,CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F
196, PROCARBAZINE , 0.16 ,CNNCC1=CC=C(C=C1)C(=O)NC(C)C
197, TRIMIPRAMINE , 23 ,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12
198, CYTARABINE , 44.1 ,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
199, DOXEPIN , 15.3 ,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
200, ESKETAMINE , 2.8 ,CN[C@@]1(CCCCC1=O)C1=CC=CC=C1Cl
201, BENZQUINAMIDE , 1.3 ,CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O
202, PEMOLINE , 12 ,NC1=NC(=O)C(O1)C1=CC=CC=C1
203, MITOTANE , 2124 ,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=CC=C1Cl
204, LEVODOPA , 1.7 ,N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O
205, TRETINOIN , 1.25 ,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O
206, TAPENTADOL , 4 ,CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1
207, MEGESTROL ACETATE , 35 ,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C
208, DIAZOXIDE , 48 ,CC1=NS(=O)(=O)C2=C(N1)C=CC(Cl)=C2
209, FLUCYTOSINE , 3.6 ,NC1=C(F)C=NC(=O)N1
210, PANCURONIUM , 2.08 ,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1
211, MOLINDONE , 2 ,CCC1=C(C)NC2=C1C(=O)C(CN1CCOCC1)CC2
212, TRIMETHOPRIM , 9 ,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC
213, METOLAZONE , 14 ,CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O
